player_id,player_name,position,season,GP,WAR,WAR_82,WAR_O,WAR_D,EV_O_GAR,EV_D_GAR,PP_GAR,PK_GAR,PEN_GAR,cap_hit,cap_pct_actual,salary_cap,cost_per_war,market_value,market_pct,surplus_value,surplus_pct,contract_type,sign_status,sign_age,draft_year,draft_round
8478402,Connor McDavid,C,2018,78,1.91,2.01,1.75,0.16,0.94,-0.24,8.14,-0.1,1.85,12500000.0,15.723270440251572,79500000,14804667.579908676,28926915.077625573,36.38605670141581,16426915.077625573,20.662786261164243,STD,RFA,20,2015.0,1.0
8474590,John Carlson,D,2018,80,1.19,1.22,0.88,0.31,0.21,0.18,4.05,0.72,0.04,8000000.0,10.062893081761008,79500000,14804667.579908676,18267554.420091324,22.97805587432871,10267554.420091324,12.915162792567703,STD,UFA,28,2008.0,1.0
8477488,Brett Pesce,D,2018,73,0.6,0.67,0.13,0.47,0.14,0.23,-0.1,1.88,-0.0,4025000.0,5.062893081761007,79500000,14804667.579908676,9532800.547945205,11.990944085465667,5507800.547945205,6.9280510037046605,STD,RFA,22,2013.0,3.0
8476875,Michael Matheson,D,2018,75,0.65,0.71,0.17,0.48,0.16,0.11,0.13,2.12,-0.22,4875000.0,6.132075471698113,79500000,14804667.579908676,10273033.92694064,12.922055254013385,5398033.92694064,6.789979782315271,STD,RFA,23,2012.0,1.0
8471887,Patric Hornqvist,RW,2018,69,0.55,0.65,0.5,0.05,0.33,-0.01,2.24,-0.0,0.23,5300000.0,6.666666666666667,79500000,14804667.579908676,8792567.168949772,11.059832916917951,3492567.1689497717,4.393166250251285,STD,UFA,31,2005.0,7.0
8476979,Erik Gustafsson,D,2018,79,0.27,0.28,0.15,0.12,0.24,-0.07,-0.22,-0.01,-0.1,1200000.0,1.509433962264151,79500000,14804667.579908676,4647260.2465753425,5.845610373050746,3447260.2465753425,4.336176410786594,STD,RFA,25,2012.0,4.0
8476958,Jaccob Slavin,D,2018,82,0.54,0.54,-0.01,0.55,0.37,0.4,-1.49,1.91,0.24,5300000.0,6.666666666666667,79500000,14804667.579908676,8644520.493150685,10.873610683208408,3344520.493150685,4.206944016541742,STD,RFA,23,2012.0,4.0
8471699,Andrew Cogliano,C,2018,78,0.39,0.41,0.1,0.29,0.25,-0.1,0.02,1.61,0.1,3250000.0,4.088050314465408,79500000,14804667.579908676,6423820.356164384,8.080277177565263,3173820.3561643837,3.9922268630998534,STD,UFA,30,2005.0,1.0
8476312,Josh Manson,D,2018,72,0.44,0.5,0.14,0.3,0.35,-0.01,-0.03,1.34,-0.54,4100000.0,5.157232704402516,79500000,14804667.579908676,7164053.735159818,9.011388346112978,3064053.735159818,3.8541556417104634,STD,RFA,25,2011.0,6.0
8475268,Gabriel Bourque,LW,2018,55,0.22,0.33,0.02,0.2,0.0,0.0,0.0,1.08,-0.01,950000.0,1.1949685534591197,79500000,14804667.579908676,3907026.867579909,4.914499204503031,2957026.867579909,3.7195306510439106,STD,UFA,27,2009.0,5.0
8475188,Brayden McNabb,D,2018,81,0.31,0.31,0.1,0.21,0.23,0.04,-0.02,0.89,-0.82,2500000.0,3.1446540880503147,79500000,14804667.579908676,5239446.949771689,6.5904993078889165,2739446.9497716893,3.445845219838603,STD,UFA,26,2009.0,3.0
8475772,Riley Sheahan,C,2018,82,0.27,0.27,0.09,0.18,0.13,-0.03,-0.01,0.77,0.26,2100000.0,2.6415094339622645,79500000,14804667.579908676,4647260.2465753425,5.845610373050746,2547260.2465753425,3.204100939088481,STD,UFA,26,2010.0,1.0
8474098,Colton Sceviour,C,2018,59,0.2,0.28,0.07,0.13,0.16,0.02,-0.01,0.55,0.1,1200000.0,1.509433962264151,79500000,14804667.579908676,3610933.5159817357,4.542054737083944,2410933.5159817357,3.0326207748197933,STD,UFA,28,2007.0,4.0
8474189,Lars Eller,C,2018,81,0.35,0.35,-0.02,0.37,0.23,-0.05,-0.97,1.75,0.53,3500000.0,4.40251572327044,79500000,14804667.579908676,5831633.652968036,7.335388242727089,2331633.652968036,2.932872519456649,STD,UFA,28,2007.0,1.0
8476539,Jonathan Marchessault,LW,2018,82,0.45,0.45,0.42,0.03,0.34,-0.17,1.68,0.0,0.15,5000000.0,6.289308176100629,79500000,14804667.579908676,7312100.410958905,9.197610579822522,2312100.410958905,2.9083024037218927,STD,UFA,27,,
