player_id,player_name,season,cap_hit,cap_pct,contract_type,sign_status,sign_age,position,draft_year,draft_round
8475663,Eddie Lack,2018,650000.0,0.8,STD,UFA,30,G,,
8475277,Edward Pasquale,2018,650000.0,0.8,STD,UFA,27,G,2009.0,4.0
8480012,Elias Pettersson,2018,925000.0,1.2,ELC,,19,C,2017.0,1.0
8475790,Erik Gudbranson,2018,4000000.0,5.0,STD,UFA,26,D,2010.0,1.0
8476979,Erik Gustafsson,2018,1200000.0,1.5,STD,RFA,25,D,2012.0,4.0
8475169,Evander Kane,2018,7000000.0,8.8,STD,UFA,26,LW,2009.0,1.0
8478433,Felix Sandstrom,2018,792500.0,1.0,ELC,,21,G,2015.0,3.0
8478366,Frank Vatrano,2018,925000.0,1.2,STD,RFA,24,C,,
8475268,Gabriel Bourque,2018,950000.0,1.2,STD,UFA,27,LW,2009.0,5.0
8480014,Gabriel Vilardi,2018,894167.0,1.1,ELC,,18,C,2017.0,1.0
8479748,Gage Quinney,2018,715000.0,0.9,ELC,,22,C,,
8480184,Gustav Lindstrom,2018,775833.0,1.0,ELC,,19,D,2017.0,2.0
8480035,Henri Jokiharju,2018,925000.0,1.2,ELC,,18,D,2017.0,1.0
8480943,Igor Ozhiganov,2018,925000.0,1.2,ELC,,25,D,,
8480950,Ilya Lyubushkin,2018,925000.0,1.2,ELC,,24,D,,
8478492,Ilya Samsonov,2018,925000.0,1.2,ELC,,21,G,2015.0,1.0
8480276,Ivan Chekhovich,2018,776667.0,1.0,ELC,,19,LW,2017.0,7.0
8476468,J.T. Miller,2018,5250000.0,6.6,STD,RFA,25,C,2011.0,1.0
8476958,Jaccob Slavin,2018,5300000.0,6.7,STD,RFA,23,D,2012.0,4.0
8475789,Jack Campbell,2018,675000.0,0.8,STD,RFA,25,G,2010.0,1.0
8478403,Jack Eichel,2018,10000000.0,12.6,STD,RFA,20,C,2015.0,1.0
8480954,Jacob Nilsson,2018,925000.0,1.2,ELC,,24,C,,
8477009,Jake Dotchin,2018,812500.0,1.0,STD,RFA,23,D,2012.0,6.0
8478133,Jake Evans,2018,925000.0,1.2,ELC,,21,C,2014.0,7.0
8479991,Jake Leschyshyn,2018,778333.0,1.0,ELC,,19,C,2017.0,2.0
8480172,Jan Rutta,2018,2250000.0,2.8,STD,UFA,27,D,,
8480027,Jason Robertson,2018,795000.0,1.0,ELC,,18,LW,2017.0,2.0
8477520,Jean-Sebastien Dea,2018,650000.0,0.8,STD,RFA,24,C,,
8476476,Joe Morrow,2018,1000000.0,1.3,STD,RFA,25,D,2011.0,1.0
8480940,Joel Persson,2018,925000.0,1.2,ELC,,24,D,,
