player_id,player_name,position,season,GP,WAR,WAR_82,goals,points,EV_O_GAR,EV_D_GAR,PP_GAR,PK_GAR,PEN_GAR,cap_hit,actual_cap_pct,salary_cap,pred_cap_pct,pred_market_value,surplus_pct,surplus_value,contract_type,sign_status
8476979,Erik Gustafsson,D,2018,79,0.27,0.28,5.0,16.0,10.39,-5.41,1.18,0.0,-1.03,1200000.0,1.509433962264151,79500000,6.508257128870655,5174064.4174521705,4.998823166606504,3974064.417452171,STD,RFA
8475204,Brandon Pirri,C,2018,31,0.11,0.29,3.0,3.0,7.31,0.7,0.35,0.0,0.76,650000.0,0.8176100628930818,79500000,4.068604775323754,3234540.796382385,3.250994712430672,2584540.7963823844,STD,UFA
8473415,Alex Biega,D,2018,41,0.11,0.22,1.0,9.0,-1.53,1.07,0.35,-0.01,-0.72,825000.0,1.0377358490566038,79500000,3.4148345127832425,2714793.4376626774,2.3770986637266387,1889793.4376626776,STD,UFA
8477479,Tyler Bertuzzi,LW,2018,73,0.03,0.03,7.0,24.0,7.49,-4.75,-0.24,0.0,0.39,1400000.0,1.7610062893081762,79500000,4.062431417940967,3229632.9772630692,2.301425128632791,1829632.977263069,STD,RFA
8476617,Tomas Hyka,RW,2018,17,0.06,0.29,1.0,3.0,0.87,0.18,0.07,0.0,0.21,650000.0,0.8176100628930818,79500000,2.856826880857268,2271177.3702815278,2.039216817964186,1621177.3702815278,STD,RFA
8476410,Josh Leivo,LW,2018,76,0.13,0.14,1.0,4.0,1.75,2.25,-0.42,0.0,0.54,925000.0,1.1635220125786163,79500000,3.071799617969438,2442080.696285703,1.9082776053908215,1517080.696285703,STD,RFA
8476891,Matt Grzelcyk,D,2018,66,0.17,0.21,3.0,15.0,-1.15,4.93,0.3,0.03,-1.98,1400000.0,1.7610062893081762,79500000,3.5773302509347147,2843977.549493098,1.8163239616265385,1443977.549493098,STD,RFA
8475175,Magnus Paajarvi,LW,2018,80,0.16,0.16,8.0,12.0,-2.88,1.88,-0.06,0.01,0.54,900000.0,1.1320754716981132,79500000,2.771982651532195,2203726.207968095,1.6399071798340816,1303726.2079680949,STD,UFA
8476994,Vinnie Hinostroza,RW,2018,72,0.08,0.09,7.0,25.0,2.09,0.5,-0.19,0.01,1.39,1500000.0,1.8867924528301887,79500000,3.4263569568246073,2723953.780675563,1.5395645039944186,1223953.7806755628,STD,RFA
8476884,Derrick Pouliot,D,2018,62,0.06,0.08,3.0,22.0,-0.32,-3.69,-1.15,0.0,-1.67,1100000.0,1.3836477987421385,79500000,2.899723809456132,2305280.428517625,1.5160760107139937,1205280.428517625,STD,RFA
8477503,Max Domi,C,2018,82,-0.13,-0.13,9.0,45.0,20.02,-3.45,-1.1,0.01,-0.25,3150000.0,3.9622641509433962,79500000,5.191401408261543,4127164.1195679265,1.2291372573181465,977164.1195679264,STD,RFA
8478366,Frank Vatrano,C,2018,81,0.02,0.02,7.0,10.0,0.25,1.72,0.07,0.0,0.05,925000.0,1.1635220125786163,79500000,2.313566055871627,1839285.0144179435,1.1500440432930108,914285.0144179435,STD,RFA
8475762,Derek Forbort,D,2018,81,-0.22,-0.22,1.0,18.0,-4.89,1.93,-0.06,0.03,-1.56,2525000.0,3.1761006289308176,79500000,4.280388832070484,3402909.1214960343,1.1042882031396664,877909.1214960348,STD,RFA
