player_id,player_name,position,age,GP,curr_WAR,curr_WAR_82,age_next,curr_goals,curr_points,proj_WAR,proj_WAR_82,proj_WAR_lo,proj_WAR_hi,proj_Points,proj_Goals,proj_GP,proj_EV_O_GAR,proj_EV_D_GAR,proj_PP_GAR,proj_PK_GAR,war_delta
8483515,Juraj Slafkovsky,L,22.0,65,1.95,2.46,23.0,,,1.31,1.33,0.28,2.34,47.67,21.05,69,0.07,-0.01,0.38,0.01,-0.6399999999999999
8477409,Carter Verhaeghe,C,31.0,63,1.99,2.59,32.0,20.0,53.0,1.3,1.31,0.27,2.33,46.43,19.54,66,0.08,-0.02,0.32,0.02,-0.69
8478483,Mitchell Marner,C,29.0,66,2.01,2.5,30.0,27.0,102.0,1.3,1.33,0.27,2.33,63.7,24.96,68,0.1,-0.01,0.49,0.02,-0.7099999999999997
8481540,Cole Caufield,R,25.0,64,1.95,2.5,26.0,37.0,70.0,1.29,1.31,0.26,2.32,52.69,21.97,67,0.08,-0.02,0.59,-0.01,-0.6599999999999999
8477501,Valeri Nichushkin,R,31.0,56,1.75,2.56,32.0,21.0,34.0,1.28,1.29,0.25,2.31,41.73,17.23,66,0.11,0.0,0.09,0.08,-0.47
8484984,Ivan Demidov,R,21.0,65,1.54,1.94,22.0,1.0,2.0,1.26,1.25,0.22,2.29,47.12,19.51,64,0.03,-0.01,-0.34,0.02,-0.28
8484801,Macklin Celebrini,C,20.0,64,1.66,2.13,21.0,25.0,63.0,1.26,1.27,0.22,2.29,67.81,26.36,71,0.11,-0.02,1.19,0.04,-0.3999999999999999
8482077,Dylan Holloway,L,25.0,43,1.28,2.44,26.0,26.0,63.0,1.25,1.27,0.22,2.28,31.55,13.62,64,0.07,-0.0,0.1,0.02,-0.030000000000000027
8482097,Jack Quinn,R,25.0,67,1.97,2.41,26.0,15.0,39.0,1.24,1.24,0.21,2.27,48.64,20.46,65,0.07,-0.02,-0.0,-0.01,-0.73
8475794,Tyler Seguin,C,34.0,26,0.8,2.52,35.0,9.0,21.0,1.23,1.22,0.2,2.26,17.2,7.83,56,0.09,-0.01,0.65,-0.01,0.42999999999999994
8475218,Mattias Ekholm,D,36.0,67,2.26,2.77,37.0,9.0,33.0,1.22,1.24,0.19,2.25,32.67,8.77,63,0.08,0.06,-0.37,0.49,-1.0399999999999998
8482720,Matthew Knies,L,24.0,64,1.8,2.31,25.0,29.0,58.0,1.22,1.24,0.19,2.25,47.69,20.66,68,0.08,-0.01,0.18,-0.0,-0.5800000000000001
8481656,Aliaksei Protas,C,25.0,64,1.83,2.34,26.0,30.0,66.0,1.22,1.22,0.19,2.25,42.74,17.75,67,0.1,-0.01,0.12,-0.02,-0.6100000000000001
8482699,Dylan Guenther,R,23.0,65,1.8,2.27,24.0,27.0,60.0,1.22,1.23,0.19,2.25,50.61,21.22,68,0.06,-0.02,0.28,0.0,-0.5800000000000001
8477404,Jake Guentzel,C,32.0,65,1.89,2.38,33.0,41.0,80.0,1.22,1.25,0.19,2.25,59.6,23.46,68,0.1,-0.02,1.09,-0.02,-0.6699999999999999
8482775,Oliver Kapanen,C,23.0,65,1.56,1.97,24.0,0.0,2.0,1.21,1.22,0.17,2.24,35.03,14.98,65,0.05,-0.0,-0.05,0.08,-0.3500000000000001
8481528,Dylan Cozens,C,25.0,65,1.86,2.35,26.0,16.0,47.0,1.21,1.22,0.18,2.24,40.71,18.18,68,0.08,-0.01,0.37,0.06,-0.6500000000000001
8480208,Drake Batherson,R,28.0,62,1.77,2.34,29.0,26.0,68.0,1.21,1.24,0.18,2.25,44.75,18.85,67,0.08,-0.01,0.39,0.01,-0.56
8479525,Ross Colton,C,30.0,60,1.76,2.41,31.0,16.0,29.0,1.2,1.2,0.17,2.23,31.82,14.28,62,0.07,-0.01,-0.07,0.01,-0.56
8479337,Alex DeBrincat,R,29.0,67,1.61,1.97,30.0,39.0,70.0,1.2,1.23,0.17,2.23,56.03,22.51,65,0.06,-0.02,0.39,0.02,-0.41000000000000014
8482745,Mason McTavish,C,23.0,61,1.44,1.94,24.0,22.0,52.0,1.19,1.19,0.16,2.22,35.82,15.58,64,0.06,-0.01,-0.1,-0.0,-0.25
8479385,Jordan Kyrou,C,28.0,55,1.31,1.95,29.0,36.0,70.0,1.18,1.19,0.15,2.21,34.9,14.55,63,0.1,-0.02,0.21,0.0,-0.13000000000000012
8478519,Anthony Cirelli,C,29.0,57,1.38,1.99,30.0,27.0,59.0,1.18,1.19,0.15,2.21,37.95,15.06,65,0.07,0.01,-0.21,-0.08,-0.19999999999999996
8482113,Anton Lundell,C,25.0,61,1.48,1.99,26.0,17.0,45.0,1.18,1.18,0.15,2.21,36.11,15.5,69,0.07,-0.0,0.06,-0.06,-0.30000000000000004
8482740,Wyatt Johnston,C,23.0,66,1.53,1.9,24.0,33.0,71.0,1.18,1.2,0.15,2.21,54.95,22.36,68,0.08,-0.02,0.18,0.12,-0.3500000000000001
8479671,Mathieu Olivier,R,29.0,53,1.49,2.31,30.0,18.0,32.0,1.17,1.19,0.14,2.2,19.48,10.19,60,0.04,0.0,0.1,0.19,-0.32000000000000006
8480803,Evan Bouchard,D,27.0,67,1.79,2.19,28.0,14.0,67.0,1.16,1.19,0.13,2.19,59.08,16.0,68,0.06,0.03,-0.24,0.21,-0.6300000000000001
8480893,Kirill Marchenko,R,26.0,60,1.61,2.2,27.0,31.0,74.0,1.16,1.19,0.13,2.19,47.91,19.69,66,0.08,-0.01,0.68,0.0,-0.4500000000000002
8480748,Kiefer Sherwood,R,31.0,54,1.56,2.37,32.0,19.0,40.0,1.16,1.17,0.13,2.2,25.69,12.46,63,0.05,0.01,0.16,0.21,-0.40000000000000013
8478493,Joel Eriksson Ek,C,29.0,61,1.68,2.26,30.0,14.0,29.0,1.16,1.18,0.12,2.19,44.12,18.75,67,0.08,-0.0,0.18,0.07,-0.52
8476432,Boone Jenner,C,33.0,51,1.53,2.46,34.0,7.0,19.0,1.16,1.18,0.13,2.19,27.02,12.0,62,0.08,0.0,0.02,0.05,-0.3700000000000001
8480015,Owen Tippett,R,27.0,66,1.81,2.25,28.0,20.0,43.0,1.16,1.18,0.13,2.19,38.95,17.38,66,0.09,-0.01,0.03,0.02,-0.6500000000000001
8482175,JJ Peterka,R,24.0,67,1.54,1.88,25.0,27.0,68.0,1.16,1.18,0.13,2.2,46.87,19.27,65,0.06,-0.02,0.51,0.01,-0.3800000000000001
8480068,Ryan Poehling,C,27.0,59,1.38,1.92,28.0,12.0,31.0,1.15,1.16,0.12,2.18,29.97,12.7,64,0.05,0.0,0.05,-0.02,-0.22999999999999998
8482157,Will Cuylle,L,24.0,66,1.55,1.93,25.0,20.0,45.0,1.15,1.16,0.12,2.18,27.29,14.0,67,0.03,-0.0,-0.01,0.02,-0.40000000000000013
8480023,Robert Thomas,C,27.0,49,1.28,2.14,28.0,21.0,81.0,1.15,1.16,0.12,2.18,42.12,16.74,63,0.15,-0.02,0.6,-0.13,-0.13000000000000012
8477940,Nikolaj Ehlers,L,30.0,66,1.56,1.94,31.0,24.0,63.0,1.14,1.15,0.11,2.17,44.67,18.15,65,0.07,-0.01,0.14,-0.01,-0.42000000000000015
8478440,Dylan Strome,C,29.0,66,1.56,1.94,30.0,29.0,82.0,1.14,1.18,0.1,2.17,54.17,21.29,63,0.1,-0.02,0.02,0.0,-0.42000000000000015
8477960,Adrian Kempe,L,30.0,66,1.59,1.98,31.0,35.0,73.0,1.14,1.14,0.11,2.17,47.62,20.15,66,0.06,-0.01,0.03,0.04,-0.4500000000000002
8478474,Lawson Crouse,L,29.0,66,1.8,2.24,30.0,12.0,18.0,1.14,1.16,0.11,2.17,36.41,15.76,67,0.05,-0.0,0.06,-0.09,-0.6600000000000001
8480855,Jack McBain,C,26.0,67,1.81,2.22,27.0,13.0,27.0,1.13,1.14,0.1,2.16,26.04,12.97,63,0.03,0.0,-0.04,0.14,-0.6800000000000002
8478460,Zach Werenski,D,29.0,59,1.61,2.24,30.0,23.0,82.0,1.13,1.18,0.1,2.17,54.27,14.54,64,0.06,0.05,-1.2,0.17,-0.4800000000000002
8480014,Gabriel Vilardi,C,27.0,65,1.49,1.88,28.0,27.0,61.0,1.12,1.13,0.09,2.15,51.42,20.69,65,0.07,-0.01,0.21,0.02,-0.3699999999999999
8479407,Jesper Bratt,L,28.0,66,1.71,2.12,29.0,21.0,88.0,1.12,1.14,0.08,2.15,43.31,18.37,67,0.1,-0.01,0.43,-0.01,-0.5899999999999999
8479343,Clayton Keller,C,28.0,67,1.74,2.13,29.0,30.0,90.0,1.12,1.13,0.09,2.15,58.81,23.04,66,0.11,-0.02,0.44,0.0,-0.6199999999999999
8484166,Adam Fantilli,C,22.0,66,1.69,2.1,23.0,31.0,54.0,1.12,1.13,0.09,2.15,47.82,20.14,69,0.07,-0.01,-0.02,0.01,-0.5699999999999998
8481557,Matt Boldy,L,25.0,63,1.41,1.84,26.0,27.0,73.0,1.12,1.14,0.09,2.15,57.64,22.54,71,0.06,-0.01,0.94,-0.02,-0.2899999999999998
8480069,Cale Makar,D,28.0,65,1.67,2.11,29.0,30.0,92.0,1.11,1.17,0.08,2.14,59.72,15.85,66,0.06,0.05,-0.21,0.26,-0.5599999999999998
8481604,Pavel Dorofeyev,L,26.0,67,1.54,1.88,27.0,35.0,52.0,1.11,1.13,0.08,2.14,45.85,19.16,66,0.06,-0.01,-0.06,0.02,-0.42999999999999994
8483431,Logan Cooley,C,22.0,39,0.86,1.81,23.0,25.0,65.0,1.11,1.11,0.07,2.14,28.3,11.87,62,0.04,-0.01,-0.3,0.0,0.2500000000000001
8480839,Rasmus Dahlin,D,26.0,63,1.69,2.2,27.0,17.0,68.0,1.11,1.13,0.08,2.15,49.25,14.22,65,0.03,0.02,-0.96,0.11,-0.5799999999999998
8478038,Devon Toews,D,32.0,52,1.37,2.16,33.0,10.0,44.0,1.11,1.12,0.08,2.14,26.52,6.47,60,0.04,0.03,0.06,0.25,-0.26
8478449,Roope Hintz,L,30.0,53,1.24,1.92,31.0,28.0,67.0,1.11,1.11,0.08,2.14,35.77,15.08,60,0.09,-0.01,0.03,0.04,-0.1299999999999999
8476389,Vincent Trocheck,C,33.0,51,1.44,2.32,34.0,26.0,59.0,1.11,1.13,0.08,2.15,38.83,16.4,65,0.09,0.0,0.22,-0.1,-0.32999999999999985
8478469,Thomas Chabot,D,29.0,50,1.14,1.87,30.0,9.0,45.0,1.11,1.12,0.07,2.14,29.84,7.9,60,0.03,0.02,-0.7,0.03,-0.029999999999999805
8482702,Logan Stankoven,C,23.0,66,1.44,1.79,24.0,14.0,38.0,1.11,1.1,0.08,2.14,33.79,14.68,66,0.06,-0.0,-0.25,0.17,-0.32999999999999985
8481617,Vasily Podkolzin,R,25.0,67,1.79,2.19,26.0,8.0,24.0,1.11,1.13,0.08,2.14,29.94,14.55,64,0.05,-0.0,0.1,0.05,-0.6799999999999999
8477955,Jared McCann,C,30.0,41,0.96,1.92,31.0,22.0,61.0,1.11,1.14,0.08,2.14,24.76,10.73,59,0.08,-0.01,-0.08,-0.01,0.15000000000000013
8477498,Darnell Nurse,D,31.0,67,1.56,1.91,32.0,5.0,33.0,1.1,1.12,0.07,2.13,21.74,5.64,62,0.02,0.03,-0.17,0.12,-0.45999999999999996
