Player,Cap Hit,Term,Total,Date,Level,Cap %,POS,Sign Age,Sign Status,Sign Expiry,Structure,GM,Agent,Draft Year,Draft Round
Kevin Reidler,"$946,250",2yr,$1.89M,30-Mar-26,ELC,0.90%,G,21,,RFA,2-Way,Steve Staios,Allain Roy,2022,5
Porter Martone,"$966,667",3yr,$2.90M,29-Mar-26,ELC,1%,RW,19,,RFA,2-Way,Daniel Briere,Paul Capizzano,2025,1
Max Lundgren,"$952,500",1yr,$953k,29-Mar-26,ELC,0.90%,G,23,,RFA,2-Way,Don Sweeney,,,
Hayes Hundley,"$1,010,000",3yr,$3.03M,27-Mar-26,ELC,1%,D,21,,RFA,2-Way,Brad Treliving,Patrick Sullivan,,
Owen Protz,"$1,004,167",3yr,$3.01M,27-Mar-26,ELC,1%,D,20,,RFA,2-Way,Kent Hughes,Andy Scott,2024,4
Tomas Cibulka,"$955,000",2yr,$1.91M,27-Mar-26,ELC,0.90%,D,21,,RFA,2-Way,Stan Bowman,J.P. Barry,,
Jiri Felcman,"$996,667",3yr,$2.99M,27-Mar-26,ELC,1%,C,20,,RFA,2-Way,Kyle Davidson,Allain Roy,2023,3
Lucas Wahlin,"$910,000",1yr,$910k,25-Mar-26,STD,0.90%,RW,24,,RFA,2-Way,Kevin Cheveldayoff,Dean Grillo,,
Gabriel Eliasson,"$1,007,500",3yr,$3.02M,25-Mar-26,ELC,1%,D,19,,RFA,2-Way,Steve Staios,Craig Oster,2024,2
Jacob Bernard-Docker,"$1,600,000",2yr,$3.20M,25-Mar-26,STD,1.50%,D,25,RFA,UFA,1-Way,Steve Yzerman,Brian & Scott Bartlett,2018,1
Michael Hrabal,"$1,075,000",3yr,$3.23M,25-Mar-26,ELC,1%,G,21,,RFA,2-Way,Bill Armstrong,Allan Walsh,2023,2
Aram Minnetian,"$1,075,000",3yr,$3.23M,24-Mar-26,ELC,1%,D,21,,RFA,2-Way,Jim Nill,Jordan Neumann & George Bazos,2023,4
Joshua Kotai,"$965,000",2yr,$1.93M,24-Mar-26,ELC,0.90%,G,23,,RFA,2-Way,Mathieu Darche,Jeff Helperl,,
Pavel Moysevich,"$980,000",3yr,$2.94M,23-Mar-26,ELC,0.90%,G,21,,RFA,2-Way,Kelly McCrimmon,Daniel Milstein,2024,3
Fyodor Svechkov,"$1,250,000",2yr,$2.50M,23-Mar-26,STD,1.20%,C,22,RFA,RFA,1-Way,Barry Trotz,Daniel Milstein,2021,1
Alex Ciernik,"$1,007,500",3yr,$3.02M,23-Mar-26,ELC,1%,LW,21,,RFA,2-Way,Daniel Briere,Allan Walsh,2023,4
Caleb Desnoyers,"$1,075,000",3yr,$3.23M,23-Mar-26,ELC,1%,C,18,,RFA,2-Way,Bill Armstrong,Philippe Lecavalier,2025,1
Félix Trudeau,"$1,013,750",2yr,$2.03M,23-Mar-26,ELC,1%,LW,23,,RFA,2-Way,Doug Armstrong,Philippe Lecavalier,,
Herman Träff,"$990,000",3yr,$2.97M,22-Mar-26,ELC,1%,LW,20,,RFA,2-Way,Pat Verbeek,Brian & Scott Bartlett,2024,3
Bill Zonnon,"$1,075,000",3yr,$3.23M,22-Mar-26,ELC,1%,C,19,,RFA,2-Way,Kyle Dubas,Philippe Lecavalier,2025,1
Riley Thompson,"$1,025,000",1yr,$1.03M,22-Mar-26,ELC,1%,C,23,,RFA,2-Way,Daniel Briere,Pete Rutili,,
Drew Fortescue,"$923,333",3yr,$2.77M,21-Mar-26,ELC,1%,D,20,,RFA,2-Way,Chris Drury,Jerry Buckley,2023,3
Gabriel D'Aigle,"$995,000",3yr,$2.99M,21-Mar-26,ELC,1%,G,19,,RFA,2-Way,Kyle Dubas,Allan Walsh,2025,3
Dylan Hryckowian,"$1,013,750",2yr,$2.03M,20-Mar-26,ELC,1%,RW,21,,RFA,2-Way,Jim Nill,Neil Sheehy,,
Victor Mancini,"$1,000,000",2yr,$2.00M,20-Mar-26,STD,1%,D,23,RFA,RFA,1-Way,Patrik Allvin,Kurt Overhardt,2022,5
Michael Carcone,"$1,750,000",2yr,$3.50M,20-Mar-26,STD,1.70%,C,29,UFA,UFA,1-Way,Bill Armstrong,Murray Koontz,,
Cole Eiserman,"$1,075,000",3yr,$3.23M,18-Mar-26,ELC,1%,LW,19,,RFA,2-Way,Mathieu Darche,Brian & Scott Bartlett,2024,1
Brandon Buhr,"$975,000",1yr,$975k,18-Mar-26,ELC,0.90%,C,23,,RFA,2-Way,Brad Treliving,Michael O'Rafferty,,
Zachary L'Heureux,"$875,000",2yr,$1.75M,18-Mar-26,STD,0.80%,LW,22,RFA,RFA,1-Way,Barry Trotz,Allan Walsh,2021,1
Jack Anderson,"$1,050,000",2yr,$2.10M,18-Mar-26,ELC,1%,D,23,,RFA,2-Way,Jim Nill,Jeff Boston,,
Cole Knuble,"$980,000",2yr,$1.96M,18-Mar-26,ELC,0.90%,C,21,,RFA,2-Way,Daniel Briere,Kevin Magnuson,2023,4
Gavin McCarthy,"$1,007,500",3yr,$3.02M,17-Mar-26,ELC,1%,D,20,,RFA,2-Way,Jarmo Kekalainen,Ryan Barnes,2023,3
Vinny Borgesi,"$987,500",2yr,$1.98M,17-Mar-26,ELC,0.90%,D,22,,RFA,2-Way,Brad Treliving,Pete Rutili,,
Kashawn Aitcheson,"$1,075,000",3yr,$3.23M,17-Mar-26,ELC,1%,D,19,,RFA,2-Way,Mathieu Darche,Paul Capizzano,2025,1
Sacha Boisvert,"$974,167",3yr,$2.92M,16-Mar-26,ELC,1%,C,19,,RFA,2-Way,Kyle Davidson,Ian Pulver,2024,1
Eddie Genborg,"$997,500",3yr,$2.99M,15-Mar-26,ELC,1%,LW,18,,RFA,2-Way,Steve Yzerman,Joakim Persson,2025,2
Cole Hutson,"$940,833",3yr,$2.82M,15-Mar-26,ELC,1%,D,19,,RFA,2-Way,Chris Patrick,Ryan Barnes,2024,2
Artur Akhtyamov,"$900,000",3yr,$2.70M,15-Mar-26,STD,0.90%,G,24,RFA,UFA,Mixed,Brad Treliving,Daniel Milstein,2020,4
Bronson Ride,"$970,500",3yr,$2.91M,14-Mar-26,ELC,0.90%,D,21,,RFA,2-Way,Kelly McCrimmon,Paul Capizzano,,
Brody Lamb,"$980,000",2yr,$1.96M,13-Mar-26,ELC,0.90%,RW,22,,RFA,2-Way,Chris Drury,Daniel Plante,2021,4
Luke Mittelstadt,"$1,013,750",2yr,$2.03M,13-Mar-26,ELC,1%,D,23,,RFA,2-Way,Kent Hughes,Neil Sheehy,2023,7
Gustav Stjernberg,"$980,000",2yr,$1.96M,13-Mar-26,ELC,0.90%,D,23,,RFA,2-Way,Chris MacFarland,Chris McAlpine,,
Ty Dellandrea,"$1,625,000",2yr,$3.25M,13-Mar-26,STD,1.60%,C,25,RFA,UFA,1-Way,Mike Grier,Todd Reynolds,2018,1
Tyson Gross,"$975,000",2yr,$1.95M,12-Mar-26,ELC,1%,C,23,,RFA,2-Way,Craig Conroy,Vlad Shushkovsky,,
Calle Rosen,"$875,000",2yr,$1.75M,12-Mar-26,STD,0.80%,D,32,UFA,UFA,2-Way,Doug Armstrong,Kurt Overhardt,,
Noah Powell,"$985,000",3yr,$2.96M,11-Mar-26,ELC,0.90%,RW,21,,RFA,2-Way,Daniel Briere,Ryan Barnes,2024,5
Nick Schmaltz,"$8,000,000",8yr,$64.00M,11-Mar-26,STD,7.70%,C,30,UFA,UFA,1-Way,Bill Armstrong,Kurt Overhardt,2014,1
Frédéric Brunet,"$875,000",2yr,$1.75M,9-Mar-26,STD,0.80%,D,22,RFA,RFA,Mixed,Don Sweeney,Paul Corbeil,2022,5
Taylor Gauthier,"$775,000",1yr,$775k,7-Mar-26,STD,0.80%,G,25,UFA,UFA,2-Way,Kyle Dubas,Allain Roy,,
Jean-Gabriel Pageau,"$4,850,000",3yr,$14.55M,6-Mar-26,STD,4.70%,C,33,UFA,UFA,1-Way,Mathieu Darche,Craig Oster,2011,4
Mathieu Joseph,"$900,000",1yr,$900k,6-Mar-26,STD,0.90%,RW,29,UFA,UFA,1-Way,Ken Holland,Olivier Fortier,2015,4
Jordan Eberle,"$5,500,000",2yr,$11.00M,6-Mar-26,STD,5.30%,RW,35,UFA,UFA,1-Way,Jason Botterill,Craig Oster,2008,1
Alex Nedeljkovic,"$3,000,000",2yr,$6.00M,6-Mar-26,STD,2.90%,G,30,UFA,UFA,1-Way,Mike Grier,Richard Evans,2014,2
Garrett Wilson,"$775,000",1yr,$775k,5-Mar-26,STD,0.80%,LW,34,UFA,UFA,2-Way,Daniel Briere,,2009,4
Ryan Poehling,"$3,750,000",4yr,$15.00M,5-Mar-26,STD,3.60%,C,27,UFA,UFA,1-Way,Pat Verbeek,Dean Grillo,2017,1
Louis Domingue,"$775,000",1yr,$775k,4-Mar-26,STD,0.80%,G,33,UFA,UFA,2-Way,Bill Zito,,2010,5
Kiefer Sherwood,"$5,750,000",5yr,$28.75M,4-Mar-26,STD,5.50%,C,30,UFA,UFA,1-Way,Mike Grier,Judd Moldaver,,
Viggo Gustafsson,"$990,000",3yr,$2.97M,4-Mar-26,ELC,1%,D,19,,RFA,2-Way,Barry Trotz,Joakim Persson,2024,3
Ethen Frank,"$2,000,000",2yr,$4.00M,4-Mar-26,STD,1.90%,RW,28,UFA,UFA,1-Way,Chris Patrick,Matt Federico,,
Gustav Olofsson,"$775,000",1yr,$775k,2-Mar-26,STD,0.80%,D,31,UFA,UFA,2-Way,Jason Botterill,Ben Hankinson,2013,2
Matyas Melovsky,"$972,500",2yr,$1.95M,2-Mar-26,ELC,0.90%,C,21,,RFA,2-Way,Tom Fitzgerald,Gregory Landry,2024,6
Ryden Evers,"$1,075,000",3yr,$3.23M,1-Mar-26,ELC,1%,C,20,,RFA,2-Way,Jason Botterill,Shane Corston,,
Alex Weiermair,"$975,000",3yr,$2.93M,1-Mar-26,ELC,0.90%,C,20,,RFA,2-Way,Kelly McCrimmon,Joe Oliver,2025,6
Ryan Winterton,"$1,125,000",2yr,$2.25M,24-Feb-26,STD,1.10%,C,22,RFA,RFA,1-Way,Jason Botterill,John Walters,2021,3
Ben Meyers,"$1,000,000",2yr,$2.00M,24-Feb-26,STD,1%,C,27,UFA,UFA,1-Way,Jason Botterill,Daniel Plante,,
Jake Lucchini,"$850,000",1yr,$850k,23-Feb-26,STD,0.80%,C,30,UFA,UFA,2-Way,Barry Trotz,Michael O'Rafferty,,
Olivier Rodrigue,"$775,000",1yr,$775k,21-Feb-26,STD,0.80%,G,25,UFA,UFA,2-Way,Kyle Davidson,Allain Roy,2018,2
Mitchell Gibson,"$812,500",2yr,$1.63M,17-Feb-26,STD,0.90%,G,26,UFA,UFA,2-Way,Chris Patrick,Michael Curran,2018,4
Brandon Bussi,"$1,900,000",3yr,$5.70M,16-Feb-26,STD,1.80%,G,27,UFA,UFA,1-Way,Eric Tulsky,John Kofi Osei-Tutu & Bobby Gauthier,,
Artemi Panarin,"$11,000,000",2yr,$22.00M,4-Feb-26,STD,10.60%,LW,34,UFA,UFA,1-Way,Ken Holland,Paul Theofanous,,
Atro Leppänen,"$850,000",1yr,$850k,2-Feb-26,STD,0.80%,D,27,UFA,UFA,2-Way,Stan Bowman,Andrew & Dave Maloney,,
Sheldon Dries,"$875,000",2yr,$1.75M,1-Feb-26,STD,0.80%,C,31,UFA,UFA,2-Way,Steve Yzerman,Richard Evans,,
Ben Chiarot,"$3,850,000",3yr,$11.55M,28-Jan-26,STD,3.70%,D,34,UFA,UFA,1-Way,Steve Yzerman,Craig Oster,2009,4
Sam Malinski,"$4,750,000",4yr,$19.00M,27-Jan-26,STD,4.60%,D,27,UFA,UFA,1-Way,Chris MacFarland,Richard Evans,,
Taylor Ward,"$875,000",2yr,$1.75M,26-Jan-26,STD,0.80%,RW,27,UFA,UFA,1-Way,Ken Holland,Justin Duberman,,
Bogdan Trineyev,"$900,000",2yr,$1.80M,24-Jan-26,STD,0.90%,LW,23,RFA,RFA,Mixed,Chris Patrick,Ryan Barnes,2020,4
Josh Doan,"$6,950,000",7yr,$48.65M,21-Jan-26,STD,6.70%,C,23,RFA,UFA,1-Way,Jarmo Kekalainen,Allain Roy,2021,2
Alex Steeves,"$1,625,000",2yr,$3.25M,21-Jan-26,STD,1.60%,C,26,UFA,UFA,1-Way,Don Sweeney,Jeff Boston,,
Uvis Balinskis,"$875,000",2yr,$1.75M,16-Jan-26,STD,0.80%,D,29,UFA,UFA,1-Way,Bill Zito,Daniel Milstein,,
Alexandre Texier,"$2,500,000",2yr,$5.00M,14-Jan-26,STD,2.40%,LW,26,RFA,UFA,1-Way,Kent Hughes,Daniel Milstein,2017,2
Logan Mailloux,"$850,000",1yr,$850k,13-Jan-26,STD,0.80%,D,22,RFA,RFA,1-Way,Doug Armstrong,Darren Ferris,2021,1
Quinn Hutson,"$875,000",2yr,$1.75M,12-Jan-26,STD,0.80%,RW,24,RFA,RFA,Mixed,Stan Bowman,Ryan Barnes,,
Blake Lizotte,"$2,250,000",3yr,$6.75M,12-Jan-26,STD,2.20%,C,28,UFA,UFA,1-Way,Kyle Dubas,Daniel Plante,,
James Reimer,"$850,000",1yr,$850k,12-Jan-26,STD,0.90%,G,37,UFA,UFA,1-Way,Steve Staios,Ray (Raynold) Petkau,2006,4
Dominik Shine,"$875,000",2yr,$1.75M,11-Jan-26,STD,0.80%,RW,32,UFA,UFA,2-Way,Steve Yzerman,,,
Jonathan Aspirot,"$887,500",2yr,$1.78M,11-Jan-26,STD,0.90%,D,26,UFA,UFA,1-Way,Don Sweeney,Dom De Blois,,
Philip Broberg,"$8,000,000",6yr,$48.00M,10-Jan-26,STD,7.70%,D,24,RFA,UFA,1-Way,Doug Armstrong,Darren Ferris,2019,1
Justin Hryckowian,"$950,000",2yr,$1.90M,7-Jan-26,STD,0.90%,C,24,RFA,UFA,1-Way,Jim Nill,Neil Sheehy,,
Yegor Zamula,"$1,000,000",1yr,$1.00M,6-Jan-26,STD,1%,D,25,RFA,RFA,1-Way,Don Waddell,Daniel Milstein,,
Christian Dvorak,"$5,150,000",5yr,$25.75M,5-Jan-26,STD,5%,C,29,UFA,UFA,1-Way,Daniel Briere,Kevin Magnuson,2014,2
Justus Annunen,"$1,250,000",2yr,$2.50M,5-Jan-26,STD,1.20%,G,25,RFA,UFA,1-Way,Barry Trotz,Allain Roy,2018,3
Alexei Toropchenko,"$2,500,000",2yr,$5.00M,5-Jan-26,STD,2.40%,RW,26,UFA,UFA,1-Way,Doug Armstrong,Patrick Morris,2017,4
Alexander Wennberg,"$6,000,000",3yr,$18.00M,4-Jan-26,STD,5.80%,C,31,UFA,UFA,1-Way,Mike Grier,Pat Brisson,2013,1
Linus Karlsson,"$2,250,000",2yr,$4.50M,2-Jan-26,STD,2.20%,RW,26,RFA,UFA,1-Way,Patrik Allvin,Matt Keator,2018,3
Charle-Edouard D'Astous,"$875,000",1yr,$875k,2-Jan-26,STD,0.80%,D,27,UFA,UFA,1-Way,Julien BriseBois,Dom De Blois,,
Devin Cooley,"$1,350,000",2yr,$2.70M,30-Dec-25,STD,1.30%,G,28,UFA,UFA,1-Way,Craig Conroy,Daniel Milstein,,
Janis Jérôme Moser,"$6,750,000",8yr,$54.00M,27-Dec-25,STD,6.50%,D,25,RFA,UFA,1-Way,Julien BriseBois,Patrick Morris,2021,2
Bryce Pickford,"$940,833",3yr,$2.82M,25-Dec-25,ELC,1%,D,19,,RFA,2-Way,Kent Hughes,Gerry Johannson,2025,3
Jimmy Lombardi,"$923,333",3yr,$2.77M,22-Dec-25,ELC,1%,C,18,,RFA,2-Way,Ken Holland,Daniel Milstein,2025,4
Max Sasson,"$1,000,000",2yr,$2.00M,15-Dec-25,STD,1%,C,25,UFA,UFA,1-Way,Patrik Allvin,Daniel Milstein,,
Joel Nystrom,"$1,225,000",4yr,$4.90M,12-Dec-25,STD,1.20%,D,23,RFA,UFA,1-Way,Eric Tulsky,,2021,7
Vojtech Cihar,"$975,000",3yr,$2.93M,10-Dec-25,ELC,1%,LW,18,,RFA,2-Way,Ken Holland,Gerry Johannson,2025,2
Trevor Kuntar,"$775,000",1yr,$775k,10-Dec-25,STD,0.80%,C,24,UFA,UFA,2-Way,Kevyn Adams,Pat Brisson,2020,3
Robby Fabbri,"$775,000",1yr,$775k,10-Dec-25,STD,0.80%,C,29,UFA,UFA,2-Way,Doug Armstrong,Patrick Morris,2014,1
Ryan McDonagh,"$4,100,000",3yr,$12.30M,4-Dec-25,STD,3.90%,D,36,UFA,UFA,1-Way,Julien BriseBois,Ben Hankinson,2007,1
Samuel Helenius,"$875,000",2yr,$1.75M,2-Dec-25,STD,0.80%,C,23,RFA,RFA,1-Way,Ken Holland,Daniel Milstein,2021,2
Mike Matheson,"$6,000,000",5yr,$30.00M,28-Nov-25,STD,5.80%,D,31,UFA,UFA,1-Way,Kent Hughes,Philippe Lecavalier,2012,1
Brendan Smith,"$800,000",1yr,$800k,24-Nov-25,STD,0.80%,D,36,UFA,UFA,2-Way,Don Waddell,Matthew Oates,2007,1
Peyton Kettles,"$875,000",3yr,$2.63M,24-Nov-25,ELC,0.90%,D,18,,RFA,2-Way,Kyle Dubas,Gregory Landry,2025,2
Alexandre Texier,"$1,000,000",1yr,$1.00M,23-Nov-25,STD,1%,LW,26,RFA,RFA,1-Way,Kent Hughes,Daniel Milstein,2017,2
Adam Lowry,"$5,000,000",5yr,$25.00M,19-Nov-25,STD,4.80%,C,32,UFA,UFA,1-Way,Kevin Cheveldayoff,Craig Oster,2011,3
Maxence Guenette,"$775,000",1yr,$775k,17-Nov-25,STD,0.80%,D,24,RFA,UFA,2-Way,Daniel Briere,Dom De Blois,2019,7
Adrian Kempe,"$10,625,000",8yr,$85.00M,16-Nov-25,STD,10.20%,C,29,UFA,UFA,1-Way,Ken Holland,J.P. Barry,2014,1
David Kampf,"$1,100,000",1yr,$1.10M,15-Nov-25,STD,1.20%,C,30,UFA,UFA,1-Way,Patrik Allvin,J.P. Barry,,
Scott Wedgewood,"$2,500,000",1yr,$2.50M,13-Nov-25,STD,2.40%,G,33,UFA,UFA,1-Way,Chris MacFarland,Jordan Neumann & George Bazos,2010,3
Shane Pinto,"$7,500,000",4yr,$30.00M,13-Nov-25,STD,7.20%,C,25,RFA,UFA,1-Way,Steve Staios,Lewis Gross,2019,2
Spencer Martin,"$775,000",2yr,$1.55M,12-Nov-25,STD,0.80%,G,30,UFA,UFA,1-Way,Chris Drury,Paul Capizzano,2013,3
Gavin Brindley,"$875,000",2yr,$1.75M,11-Nov-25,STD,0.80%,RW,21,RFA,RFA,Mixed,Chris MacFarland,Pat Brisson,2023,2
Jacob Markstrom,"$6,000,000",2yr,$12.00M,31-Oct-25,STD,5.80%,G,35,UFA,UFA,1-Way,Tom Fitzgerald,Patrick Morris,2008,2
Ivan Miroshnichenko,"$925,000",2yr,$1.85M,31-Oct-25,STD,0.90%,LW,21,RFA,RFA,1-Way,Chris Patrick,Daniel Milstein,2022,1
Martin Necas,"$11,500,000",8yr,$92.00M,30-Oct-25,STD,11.10%,C,26,UFA,UFA,1-Way,Chris MacFarland,Michael Deutsch,2017,1
Logan Cooley,"$10,000,000",8yr,$80.00M,29-Oct-25,STD,9.60%,C,21,RFA,UFA,1-Way,Bill Armstrong,Brian & Scott Bartlett,2022,1
Thomas Harley,"$10,587,000",8yr,$84.70M,28-Oct-25,STD,10.20%,D,24,RFA,UFA,1-Way,Jim Nill,Andy Scott,2019,1
Tristen Nielsen,"$775,000",2yr,$1.55M,27-Oct-25,STD,0.80%,C,25,UFA,UFA,2-Way,Chris MacFarland,Eustace King,,
Brett Leason,"$775,000",1yr,$775k,27-Oct-25,STD,0.80%,RW,26,UFA,UFA,2-Way,Chris Patrick,J.P. Barry,2019,2
Nathan Aspinall,"$925,000",3yr,$2.78M,25-Oct-25,ELC,1%,LW,19,,RFA,2-Way,Chris Drury,Wade Arnott,2024,5
Carter Hart,"$2,000,000",2yr,$4.00M,25-Oct-25,STD,2.10%,G,27,UFA,UFA,1-Way,Kelly McCrimmon,Judd Moldaver,2016,2
Lane Hutson,"$8,850,000",8yr,$70.80M,13-Oct-25,STD,8.50%,D,21,RFA,UFA,1-Way,Kent Hughes,Sean Coffey,2022,2
Jonah Gadjovich,"$905,000",2yr,$1.81M,12-Oct-25,STD,0.90%,LW,27,UFA,UFA,1-Way,Bill Zito,Jason Harshaw,2017,2
Jack Roslovic,"$1,500,000",1yr,$1.50M,8-Oct-25,STD,1.60%,C,28,UFA,UFA,1-Way,Stan Bowman,Justin Duberman,2015,1
Georgii Romanov,"$775,000",1yr,$775k,8-Oct-25,STD,0.80%,G,25,UFA,UFA,2-Way,Doug Armstrong,Mark Gandler & Todd Diamond,,
Jack Eichel,"$13,500,000",8yr,$108.00M,8-Oct-25,STD,13%,C,28,UFA,UFA,1-Way,Kelly McCrimmon,Pat Brisson,2015,1
Mattias Ekholm,"$4,000,000",3yr,$12.00M,8-Oct-25,STD,3.80%,D,35,UFA,UFA,1-Way,Stan Bowman,Kurt Overhardt,2009,4
Kyle Connor,"$12,000,000",8yr,$96.00M,8-Oct-25,STD,11.50%,LW,28,UFA,UFA,1-Way,Kevin Cheveldayoff,Richard Evans,2015,1
Luke Glendening,"$775,000",1yr,$775k,7-Oct-25,STD,0.80%,C,36,UFA,UFA,1-Way,Tom Fitzgerald,Shawn Hunwick,,
Alexander Holtz,"$837,539",2yr,$1.68M,7-Oct-25,STD,0.90%,RW,23,RFA,RFA,1-Way,Kelly McCrimmon,Craig Oster,2020,1
Adam Erne,"$775,000",1yr,$775k,7-Oct-25,STD,0.80%,LW,30,UFA,UFA,2-Way,Jim Nill,Ritchie Winter,2013,2
Noah Gregor,"$775,000",1yr,$775k,7-Oct-25,STD,0.80%,LW,27,UFA,UFA,2-Way,Bill Zito,Craig Oster,2016,4
Kevin Rooney,"$775,000",1yr,$775k,6-Oct-25,STD,0.80%,C,32,UFA,UFA,2-Way,Bill Armstrong,Peter Fish,,
Conor Sheary,"$775,000",1yr,$775k,6-Oct-25,STD,0.80%,LW,33,UFA,UFA,2-Way,Chris Drury,Lewis Gross,,
Jake Walman,"$7,000,000",7yr,$49.00M,6-Oct-25,STD,6.70%,D,29,UFA,UFA,1-Way,Stan Bowman,Wade Arnott,2014,3
Connor McDavid,"$12,500,000",2yr,$25.00M,6-Oct-25,STD,12%,C,28,UFA,UFA,1-Way,Stan Bowman,Judd Moldaver,2015,1
Jeremy Davies,"$1,150,000",2yr,$2.30M,5-Oct-25,STD,1.20%,D,28,UFA,UFA,2-Way,Kelly McCrimmon,Ian Pulver,2016,7
Matt Grzelcyk,"$1,000,000",1yr,$1.00M,5-Oct-25,STD,1%,D,31,UFA,UFA,1-Way,Kyle Davidson,Sean Coffey,2012,3
Nikita Chibrikov,"$875,000",2yr,$1.75M,4-Oct-25,STD,0.80%,LW,22,RFA,RFA,1-Way,Kevin Cheveldayoff,Daniel Milstein,2021,2
Filip Gustavsson,"$6,800,000",5yr,$34.00M,4-Oct-25,STD,6.50%,G,27,UFA,UFA,1-Way,Bill Guerin,Kurt Overhardt,2016,2
Luke Evangelista,"$3,000,000",2yr,$6.00M,3-Oct-25,STD,3.10%,RW,23,RFA,RFA,1-Way,Barry Trotz,Judd Moldaver,2020,2
Julius Miettinen,"$940,833",3yr,$2.82M,3-Oct-25,ELC,1%,C,19,,RFA,2-Way,Jason Botterill,Mark Gandler & Todd Diamond,2024,2
Givani Smith,"$775,000",1yr,$775k,3-Oct-25,STD,0.80%,RW,27,UFA,UFA,2-Way,Eric Tulsky,Eustace King,2016,2
Jackson LaCombe,"$9,000,000",8yr,$72.00M,2-Oct-25,STD,8.70%,D,24,RFA,UFA,1-Way,Pat Verbeek,Pat Brisson,2019,2
Niko Mikkola,"$5,000,000",8yr,$40.00M,2-Oct-25,STD,4.80%,D,29,UFA,UFA,1-Way,Bill Zito,Markus Lehto,2015,5
Luke Hughes,"$9,000,000",7yr,$63.00M,1-Oct-25,STD,9.40%,D,22,RFA,UFA,1-Way,Tom Fitzgerald,Pat Brisson,2021,1
Kirill Kaprizov,"$17,000,000",8yr,$136.00M,30-Sep-25,STD,16.30%,LW,28,UFA,UFA,1-Way,Bill Guerin,Paul Theofanous,2015,5
Anthony Stolarz,"$3,750,000",4yr,$15.00M,28-Sep-25,STD,3.60%,G,31,UFA,UFA,1-Way,Brad Treliving,Allain Roy,2012,2
Cam Fowler,"$6,100,000",3yr,$18.30M,27-Sep-25,STD,5.90%,D,33,UFA,UFA,1-Way,Doug Armstrong,Pat Brisson,2010,1
Mason McTavish,"$7,000,000",6yr,$42.00M,27-Sep-25,STD,7.30%,C,22,RFA,UFA,1-Way,Pat Verbeek,Patrick Morris,2021,1
Vasily Podkolzin,"$2,950,000",3yr,$8.85M,23-Sep-25,STD,2.80%,RW,24,RFA,UFA,1-Way,Stan Bowman,Craig Oster,2019,1
Jaxon Fuder,"$916,667",3yr,$2.75M,23-Sep-25,ELC,1%,LW,19,,RFA,2-Way,Jim Nill,Michael Kaye,,
Riley Patterson,"$923,333",3yr,$2.77M,22-Sep-25,ELC,1%,C,19,,RFA,2-Way,Patrik Allvin,Robert Hooper,2024,4
Gabe Chiarot,"$916,667",3yr,$2.75M,22-Sep-25,ELC,1%,RW,19,,RFA,2-Way,Patrik Allvin,Craig Oster,2025,6
Chase Wutzke,"$962,500",3yr,$2.89M,22-Sep-25,ELC,1%,G,19,,RFA,2-Way,Bill Guerin,Ian Pulver,2024,5
Dominic James,"$910,000",2yr,$1.82M,20-Sep-25,ELC,1%,C,23,,RFA,2-Way,Julien BriseBois,Chris Lepkowski,2022,6
Wyatt Kaiser,"$1,700,000",2yr,$3.40M,17-Sep-25,STD,1.80%,D,23,RFA,RFA,1-Way,Kyle Davidson,Ritchie Winter,2020,3
Mikael Backlund,"$3,250,000",2yr,$6.50M,17-Sep-25,STD,3.10%,C,36,UFA,UFA,1-Way,Craig Conroy,J.P. Barry,2007,1
Nathan Walker,"$887,500",2yr,$1.78M,17-Sep-25,STD,0.90%,LW,31,UFA,UFA,1-Way,Doug Armstrong,Allan Walsh,2014,3
Spencer Knight,"$5,833,333",3yr,$17.50M,13-Sep-25,STD,5.60%,G,24,RFA,UFA,1-Way,Kyle Davidson,Jordan Neumann & George Bazos,2019,1
Alexandar Georgiev,"$825,000",1yr,$825k,11-Sep-25,STD,0.90%,G,29,UFA,UFA,1-Way,Kevyn Adams,Daniel Milstein,,
Nikita Susuyev,"$855,000",3yr,$2.57M,10-Sep-25,ELC,0.90%,LW,20,,RFA,2-Way,Doug Armstrong,Paul Theofanous,2023,7
Justin Carbonneau,"$975,000",3yr,$2.93M,10-Sep-25,ELC,1%,RW,18,,RFA,2-Way,Doug Armstrong,Olivier Fortier,2025,1
Michael Misa,"$975,000",3yr,$2.93M,10-Sep-25,ELC,1%,C,18,,RFA,2-Way,Mike Grier,David Gagner,2025,1
Dustin Wolf,"$7,500,000",7yr,$52.50M,9-Sep-25,STD,7.20%,G,24,RFA,UFA,1-Way,Craig Conroy,Pat Brisson,2019,7
Connor Zary,"$3,775,000",3yr,$11.33M,5-Sep-25,STD,4%,C,23,RFA,RFA,1-Way,Craig Conroy,Michael Kaye,2020,1
Donovan Sebrango,"$775,000",1yr,$775k,3-Sep-25,STD,0.80%,D,23,RFA,RFA,2-Way,Steve Staios,Patrick Morris,2020,3
Daniil Prokhorov,"$915,000",3yr,$2.75M,2-Sep-25,ELC,1%,RW,18,,RFA,2-Way,Mathieu Darche,Maxim Moliver,2025,2
Dennis Hildeby,"$841,667",3yr,$2.53M,2-Sep-25,STD,0.90%,G,24,RFA,RFA,Mixed,Brad Treliving,Craig Oster,2022,4
