Player,Cap Hit,Term,Total,Date,Level,Cap %,POS,Sign Age,Sign Status,Sign Expiry,Structure,GM,Agent,Draft Year,Draft Round
Lleyton Roed,"$870,000",2yr,$1.74M,29-Mar-24,ELC,1%,LW,21,,RFA,2-Way,Ron Francis,Neil Sheehy,,
Lukas Dragicevic,"$891,666",3yr,$2.67M,29-Mar-24,ELC,1%,D,18,,RFA,2-Way,Ron Francis,Gerry Johannson,2023,2
Nico Myatovic,"$896,667",3yr,$2.69M,29-Mar-24,ELC,1%,LW,19,,RFA,2-Way,Pat Verbeek,Scott Norton,2023,2
Simon Benoit,"$1,350,000",3yr,$4.05M,29-Mar-24,STD,1.50%,D,25,RFA,UFA,1-Way,Brad Treliving,Philippe Lecavalier,,
Ryan Ufko,"$925,000",3yr,$2.78M,29-Mar-24,ELC,1.10%,D,20,,RFA,2-Way,Barry Trotz,John Kofi Osei-Tutu & Bobby Gauthier,2021,4
Emmitt Finnie,"$821,667",3yr,$2.47M,27-Mar-24,ELC,0.90%,C,18,,RFA,2-Way,Steve Yzerman,Todd Litwiniuk,2023,7
Jack Peart,"$925,000",3yr,$2.78M,27-Mar-24,ELC,1.10%,D,20,,RFA,2-Way,Bill Guerin,Edward Ward,2021,2
Justus Annunen,"$837,500",2yr,$1.68M,26-Mar-24,STD,1%,G,24,RFA,RFA,1-Way,Chris MacFarland,Allain Roy,2018,3
Benjamin Kraws,"$850,000",1yr,$850k,25-Mar-24,ELC,1%,G,23,,RFA,2-Way,Jim Nill,Paul Theofanous,,
Ben Steeves,"$950,000",2yr,$1.90M,25-Mar-24,ELC,1.10%,LW,21,,RFA,2-Way,Bill Zito,Allain Roy,,
Riley Duran,"$867,500",2yr,$1.74M,24-Mar-24,ELC,1%,RW,22,,RFA,2-Way,Don Sweeney,Peter Fish,2020,6
Riley Heidt,"$918,333",3yr,$2.75M,24-Mar-24,ELC,1%,C,18,,RFA,2-Way,Bill Guerin,Gerry Johannson,2023,2
Joni Jurmo,"$850,000",2yr,$1.70M,24-Mar-24,ELC,1%,D,21,,RFA,2-Way,Craig Conroy,Ian Pulver,2020,3
Cam Thiesing,"$870,000",2yr,$1.74M,22-Mar-24,ELC,1%,C,22,,RFA,2-Way,Lou Lamoriello,Pete Rutili,,
Stephen Halliday,"$950,000",2yr,$1.90M,22-Mar-24,ELC,1.10%,C,21,,RFA,2-Way,Steve Staios,Kevin Magnuson,2022,4
Tomas Suchanek,"$870,000",3yr,$2.61M,21-Mar-24,ELC,1%,G,20,,RFA,2-Way,Pat Verbeek,Allan Walsh,,
James Stefan,"$870,000",3yr,$2.61M,21-Mar-24,ELC,1%,RW,20,,RFA,2-Way,Ken Holland,Paul Capizzano,,
Justin Hryckowian,"$870,000",2yr,$1.74M,20-Mar-24,ELC,1%,C,23,,RFA,2-Way,Jim Nill,Neil Sheehy,,
Michael Dipietro,"$775,000",1yr,$775k,20-Mar-24,STD,0.90%,G,24,UFA,UFA,2-Way,Don Sweeney,Darren Ferris,2017,3
Theo Lindstein,"$918,333",3yr,$2.75M,20-Mar-24,ELC,1%,D,19,,RFA,2-Way,Doug Armstrong,Peter Wallen,2023,1
Jaroslav Chmelar,"$867,500",3yr,$2.60M,20-Mar-24,ELC,1%,RW,20,,RFA,2-Way,Chris Drury,Jerry Buckley,2021,5
Carter Gylander,"$855,000",2yr,$1.71M,19-Mar-24,ELC,1%,G,22,,RFA,2-Way,Steve Yzerman,Gerry Johannson,2019,7
Luke Krys,"$870,000",2yr,$1.74M,19-Mar-24,ELC,1%,D,23,,RFA,2-Way,Jim Nill,Peter Fish,,
Sam Morton,"$870,000",1yr,$870k,18-Mar-24,ELC,1%,C,24,,RFA,2-Way,Craig Conroy,Dean Grillo,,
Rasmus Kumpulainen,"$865,833",3yr,$2.60M,18-Mar-24,ELC,1%,C,18,,RFA,2-Way,Bill Guerin,Ian Pulver,2023,2
Connor Ungar,"$860,000",2yr,$1.72M,18-Mar-24,ELC,1%,G,22,,RFA,2-Way,Ken Holland,Daren Hermiston,,
Spencer Martin,"$775,000",1yr,$775k,16-Mar-24,STD,0.90%,G,28,UFA,UFA,1-Way,Don Waddell,Paul Capizzano,2013,3
Hugo Ollas,"$855,000",2yr,$1.71M,15-Mar-24,ELC,1%,G,21,,RFA,2-Way,Chris Drury,Peter Wallen,2020,7
Tristan Bertucci,"$846,666",3yr,$2.54M,15-Mar-24,ELC,1%,D,18,,RFA,2-Way,Jim Nill,John Walters,2023,2
Christian Felton,"$870,000",1yr,$870k,14-Mar-24,ELC,1%,D,24,,UFA,2-Way,Patrik Allvin,Jerry Buckley,,
Hunter Brzustewicz,"$950,000",3yr,$2.85M,14-Mar-24,ELC,1.10%,D,19,,RFA,2-Way,Craig Conroy,Ryan Barnes,2023,3
Bobby McMann,"$1,350,000",2yr,$2.70M,13-Mar-24,STD,1.50%,C,27,UFA,UFA,1-Way,Brad Treliving,Brian & Scott Bartlett,,
Matthew Kessel,"$800,000",2yr,$1.60M,13-Mar-24,STD,0.90%,D,23,RFA,RFA,1-Way,Doug Armstrong,Lewis Gross,2020,5
Drew Bavaro,"$867,500",1yr,$868k,13-Mar-24,ELC,1%,D,23,,UFA,2-Way,Don Sweeney,Peter Fish,,
Landon Slaggert,"$912,500",2yr,$1.83M,11-Mar-24,ELC,1.10%,LW,21,,RFA,2-Way,Kyle Davidson,Brian & Scott Bartlett,2020,3
Justin Ertel,"$867,500",3yr,$2.60M,11-Mar-24,ELC,1%,LW,20,,RFA,2-Way,Jim Nill,Kurt Overhardt (KO),2021,3
Brendan Lemieux,"$775,000",1yr,$775k,11-Mar-24,STD,0.90%,LW,27,UFA,UFA,1-Way,Don Waddell,Claude Lemieux,2014,2
Timothy Gettinger,"$775,000",1yr,$775k,11-Mar-24,STD,0.90%,LW,25,UFA,UFA,2-Way,Steve Yzerman,Ryan Barnes,2016,5
