round,players,nhl_rate,mean_war_7yr,median_war_7yr,total_surplus_7yr,surplus_per_year,relative_value
1,468,0.9102564102564102,0.6413675213675213,0.21000000000000002,6994530.412772173,999218.6303960247,100.0
2,286,0.7972027972027972,0.3256643356643356,0.09999999999999998,-2240062.7529040887,-320008.9647005841,-32.02592055091622
3,180,0.6388888888888888,0.25033333333333335,0.07,-3373749.128152674,-481964.16116466775,-48.234104779816676
4,162,0.6851851851851852,0.259320987654321,0.08,-2697765.982486412,-385395.14035520173,-38.56965118859487
5,125,0.664,0.22088,0.06,-4844030.688248301,-692004.3840354716,-69.25455180526473
6,99,0.6666666666666666,0.2403030303030303,0.05,-3768692.4771954673,-538384.6395993525,-53.88056459535508
7,79,0.6455696202531646,0.17670886075949363,0.05,-4507272.869121048,-643896.1241601497,-64.43996384504474
