goalie_id,goalie_name,total_shots,total_ga,total_xGA,total_sv_pct,total_GSAx_adj,seasons_played,GOALIE_GAR,GOALIE_WAR
8476876,Malcolm.Subban,2322,233,166.56219183,0.8996554694229113,-17.839296639547428,7,-7.47,-1.24
8470657,Jimmy.Howard,7263,674,495.08501899,0.9072008811785763,-39.94409622737264,6,-7.51,-1.25
8478433,Felix.Sandstrom,752,85,58.329505870000006,0.886968085106383,-10.985057961988874,2,-7.63,-1.27
8473523,Jhonas.Enroth,2044,194,142.23737888,0.9050880626223092,-16.734490402518333,3,-7.61,-1.27
8473553,Jeff.Zatkoff,711,67,43.95693466,0.9057665260196905,-11.052121688295577,3,-7.88,-1.31
8475876,Zane.McIntyre,155,22,10.74849261,0.8580645161290322,-8.622588626249337,1,-7.93,-1.32
8474682,Dustin.Tokarski,2018,198,140.53234339,0.9018830525272548,-17.040399349677042,6,-8.03,-1.34
8477405,Marcus.Hogberg,1098,114,76.99146364,0.8961748633879781,-13.996900543821557,3,-9.09,-1.52
8469548,Ray.Emery,758,80,54.07069536,0.8944591029023746,-12.860305916165393,1,-9.48,-1.58
8480947,Kevin.Lankinen,2731,263,182.50980852,0.9036982790186745,-21.93816783186429,3,-9.74,-1.62
8470093,Mike.McKenna,401,44,23.99293385,0.8902743142144638,-11.63726466187172,3,-9.85,-1.64
8468524,Ilya.Bryzgalov,150,23,9.62582697,0.8466666666666667,-10.787959562222703,1,-10.12,-1.69
8478435,Dan.Vladar,1402,144,98.03098126,0.8972895863052782,-16.54194525133107,4,-10.28,-1.71
8476839,Viktor.Fasth,681,76,50.43535089,0.8883994126284875,-13.823239966291071,1,-10.78,-1.8
8474636,Michael.Hutchinson,3841,372,272.70926158,0.9031502212965373,-28.519928726349185,9,-11.37,-1.89
8478470,Sam.Montembeault,3040,316,227.00753579,0.8960526315789473,-25.628887829580837,4,-12.05,-2.01
8476343,Garret.Sparks,1093,110,71.79505189999999,0.8993595608417201,-16.953080336057983,3,-12.07,-2.01
8475839,Louis.Domingue,4249,402,288.83488444,0.9053895034125676,-33.36978958750035,8,-14.4,-2.4
8477992,Jonas.Johansson,858,99,61.846892579999995,0.8846153846153846,-18.839827423809144,4,-15.01,-2.5
8476903,Jon.Gillies,923,100,61.8499267,0.8916576381365113,-19.20631066333866,4,-15.08,-2.51
8473404,Niklas.Backstrom,561,64,36.75228328,0.8859180035650625,-17.622748127453548,2,-15.12,-2.52
8471774,Alex.Stalock,4203,397,279.63424994,0.9055436592909827,-34.03539408514222,8,-15.27,-2.54
8474765,Anders.Lindback,1239,120,77.43813453,0.9031476997578692,-21.39223434916653,2,-15.86,-2.64
8480051,Cayden.Primeau,522,67,37.75994187,0.8716475095785441,-18.274991410879238,4,-15.94,-2.66
8478039,Kaapo.Kahkonen,2861,285,195.67540478,0.9003844809507165,-28.81586007493234,4,-16.04,-2.67
8476234,Keith.Kinkaid,4749,455,325.180845,0.9041903558643924,-37.986154047445346,9,-16.78,-2.8
8475717,Calvin.Pickard,3175,309,221.10740201000002,0.9026771653543307,-31.041300816295358,8,-16.86,-2.81
8477484,Spencer.Martin,1130,130,84.7619343,0.8849557522123894,-22.041767876286322,3,-17.0,-2.83
8477225,Jared.Coreau,562,68,38.12173258,0.8790035587188612,-19.69281021100814,2,-17.18,-2.86
8477237,Mike.Condon,3549,335,238.79587095,0.905607213299521,-33.16869092045371,4,-17.32,-2.89
8476509,Maxime.Lagace,549,70,38.21919935,0.872495446265938,-20.568128417667005,4,-18.12,-3.02
8473434,Chad.Johnson,4117,398,286.39113665,0.9033276657760505,-36.95175930560225,5,-18.57,-3.1
8475681,Ben.Scrivens,1989,210,141.371935,0.8944193061840121,-34.529544052983745,2,-25.65,-4.27
8470320,Cam.Ward,6689,629,449.1262718,0.9059650171924054,-57.53329376789799,5,-27.67,-4.61
