season,team,GP,roster_EV_O,roster_EV_D,roster_PP,roster_PK,roster_PEN,goalie_GA_G,team_strength,actual_GD,actual_wins,win_pct
2015,NYI,82,0.0004465771774645157,0.0005699797908575033,0.14542507145876404,0.3124558825712925,0.0002802751276361915,0.2187658536585366,0.1532158536585366,-21,41,0.5
2015,NSH,82,-0.0001759720148181383,0.0005831105974684656,0.11958843027181128,0.31837882635322867,4.389839707788471e-05,0.08582073170731708,0.15179512195121952,9,45,0.5487804878048781
2015,ANA,82,8.246872282611665e-05,0.0006190546242536364,0.1810984370498358,0.20380168139574473,-0.0007440936130182035,0.11856951219512196,0.14906097560975612,-5,40,0.4878048780487805
2015,WSH,82,0.0008587524141189032,0.0006353184971272574,0.34972450894174906,-0.11502732597565807,0.00048361980444611337,0.06743170731707318,0.11032073170731709,-21,38,0.4634146341463415
2015,BOS,82,0.0006342880417278126,6.58375080928898e-05,0.22554552552402862,0.03864501674235986,-0.0014941069689194686,0.11081219512195123,0.09699146341463415,6,43,0.524390243902439
2015,DAL,82,0.0009752957557319782,0.00038834470318096424,0.3546989734604528,-0.170850152149724,0.00027965472285491503,0.11438902439024391,0.08580243902439025,-18,40,0.4878048780487805
2015,MIN,82,0.0004850616725567498,0.0007289558829670928,0.12621847278198756,0.02309343526958715,0.001578337974756656,0.15698658536585366,0.07885487804878048,21,46,0.5609756097560976
2015,CAR,81,0.0003859165474152835,0.0006458025522760243,-0.007249416195345759,0.19413612561532054,0.0017352369268661127,0.1681074074074074,0.06800493827160493,-6,37,0.4567901234567901
2015,BUF,80,0.00016249891739025362,-6.866231996801094e-05,0.11015534903439232,0.02602259276894182,0.00188599725094687,0.11086875,0.06137875,-8,35,0.4375
2015,PIT,82,0.0005863442797841936,0.000371341203502529,0.14226490197351838,0.009201400966187738,-0.0002700605936348285,0.3099280487804878,0.0583,3,41,0.5
2015,SJS,82,0.00031093566198303683,0.0011662042048654322,0.22105778759202865,-0.14875836831287237,0.0001420337942006644,0.21315121951219512,0.05735975609756098,14,40,0.4878048780487805
2015,STL,81,0.00016085506536835822,0.0003968947116183015,0.15606404345460284,0.038477803239975156,-0.0009080982880384597,0.33595802469135805,0.054481481481481485,-2,44,0.5432098765432098
2015,NYR,82,0.00039287077381328116,0.0007967098209981492,0.0013914923093629303,0.1530190266595532,-0.0003710043108408023,0.2883329268292683,0.05079756097560976,5,39,0.47560975609756095
