season,player_id,player_name,position,toi_5v5,toi_pp,toi_pk,toi_all,xEV_O,xEV_D,FINISH_O,FINISH_D,xEV_O_GAR,xEV_D_GAR,FINISH_O_GAR,FINISH_D_GAR,EV_O_GAR,EV_D_GAR,PP_GAR,PK_GAR,PEN_GAR,FO_GAR,xGAR,GAR_above_avg,GAR,WAR,GAR_se,GAR_lo90,GAR_hi90,WAR_se,fo_won,fo_lost,pen_taken,pen_drawn
2015,8471729,Kris.Russell,D,1174.4,91.8,115.6,1430.7,-0.1438,0.0647,0.0028,0.0875,-2.81,1.27,0.17,1.71,-2.64,2.98,0.02,0.08,0.43,0.0,-1.01,0.87,8.89,1.48,3.07,3.84,13.94,0.51,0.0,0.0,6.0,7.0
2015,8470622,Patrick.Eaves,F,566.5,103.9,17.0,700.6,-0.0384,0.2195,0.0337,0.1063,-0.36,2.07,0.89,1.0,0.53,3.07,0.92,0.0,0.3,-0.01,2.92,4.81,8.8,1.47,1.67,6.05,11.55,0.28,1.0,4.0,12.0,13.0
2015,8471276,David.Krejci,F,1066.5,220.9,99.6,1461.7,-0.2405,0.0136,0.1385,0.1353,-4.27,0.24,2.69,2.4,-1.58,2.64,-1.4,0.06,0.95,0.01,-4.41,0.68,8.73,1.46,3.13,3.58,13.88,0.52,469.0,467.0,15.0,19.0
2015,8474189,Lars.Eller,F,980.0,72.8,103.2,1205.3,0.0367,0.0779,-0.0203,-0.0133,0.6,1.27,-0.05,-0.22,0.55,1.05,-0.89,0.15,1.07,0.06,2.26,1.99,8.7,1.45,2.77,4.14,13.26,0.46,152.0,138.0,14.0,19.0
2015,8474584,Michael.Del.Zotto,D,963.5,68.8,126.6,1217.5,0.0645,0.0301,-0.0095,0.0971,1.04,0.48,-0.55,1.56,0.49,2.04,-0.69,-0.09,0.22,0.0,0.96,1.97,8.69,1.45,2.7,4.25,13.13,0.45,0.0,0.0,8.0,8.0
2015,8474098,Colton.Sceviour,F,729.8,37.6,114.7,900.1,-0.1636,0.2295,0.0624,0.0582,-1.99,2.79,1.23,0.71,-0.76,3.5,0.07,0.07,0.68,-0.02,1.6,3.54,8.66,1.44,2.08,5.24,12.08,0.35,7.0,13.0,9.0,12.0
2015,8470257,Alexander.Steen,F,986.1,189.8,110.5,1364.9,-0.1732,0.0279,0.2024,-0.0351,-2.85,0.46,2.71,-0.58,-0.14,-0.12,2.5,-0.07,-0.94,-0.06,-0.96,1.17,8.63,1.44,2.78,4.06,13.2,0.46,108.0,122.0,24.0,17.0
2015,8476792,Torey.Krug,D,1365.7,253.1,48.8,1750.7,0.1773,-0.0535,-0.1728,0.0097,4.04,-1.22,-5.58,0.22,-1.54,-1.0,0.83,0.02,0.66,0.01,4.34,-1.02,8.65,1.44,3.81,2.38,14.92,0.64,2.0,0.0,15.0,17.0
2015,8475793,Ryan.Johansen,F,1112.0,215.2,11.8,1405.0,0.1199,0.0611,-0.001,-0.0822,2.22,1.13,-0.83,-1.52,1.39,-0.39,1.3,0.01,-1.61,0.14,3.19,0.84,8.61,1.43,3.2,3.35,13.87,0.53,504.0,468.0,29.0,18.0
2015,8473533,Jordan.Staal,F,1150.2,141.6,138.0,1500.2,-0.0085,0.0565,-0.1977,-0.003,-0.16,1.08,-2.62,-0.06,-2.78,1.02,0.56,-0.03,0.96,0.55,2.96,0.28,8.57,1.43,3.33,3.09,14.05,0.56,571.0,433.0,17.0,21.0
2015,8468309,Mark.Streit,D,1015.8,178.3,86.8,1356.2,0.0223,-0.0117,0.0669,0.0117,0.38,-0.2,1.51,0.2,1.89,0.0,-1.51,-0.02,0.76,0.0,-0.59,1.12,8.55,1.42,2.78,3.98,13.12,0.46,0.0,0.0,9.0,12.0
2015,8470595,Eric.Staal,F,1242.7,205.5,26.4,1540.1,0.5064,0.0354,-0.5429,0.119,10.49,0.73,-14.48,2.46,-3.99,3.19,-0.44,0.01,0.96,0.17,11.92,-0.1,8.45,1.41,3.44,2.79,14.11,0.57,366.0,323.0,17.0,21.0
2015,8476462,Dougie.Hamilton,D,1331.4,186.8,35.9,1620.9,-0.0268,-0.0039,0.0537,-0.1148,-0.59,-0.09,3.26,-2.55,2.67,-2.64,0.41,-0.01,-1.06,0.0,-1.34,-0.63,8.39,1.4,3.68,2.34,14.44,0.61,0.0,0.0,19.0,11.0
2015,8470144,Frans.Nielsen,F,1000.4,212.4,151.1,1435.3,-0.412,0.1403,0.0099,0.145,-6.87,2.34,1.09,2.42,-5.78,4.76,0.2,-0.21,1.45,0.1,-2.99,0.52,8.43,1.4,2.8,3.82,13.04,0.47,447.0,422.0,6.0,13.0
2015,8476882,Teuvo.Teravainen,F,960.4,131.1,57.9,1196.9,-0.207,0.1481,-0.0041,0.1159,-3.31,2.37,-0.33,1.86,-3.64,4.23,0.22,0.14,0.9,-0.19,0.13,1.66,8.33,1.39,2.82,3.69,12.97,0.47,94.0,142.0,10.0,14.0
2015,8468508,Justin.Williams,F,1090.4,151.5,77.7,1365.5,0.3818,-0.0821,-0.1664,-0.0312,6.94,-1.49,-2.84,-0.57,4.1,-2.06,-0.61,0.01,-0.77,0.01,4.09,0.68,8.34,1.39,3.07,3.29,13.39,0.51,20.0,18.0,18.0,12.0
2015,8474565,Alex.Pietrangelo,D,1438.9,164.6,215.0,1920.2,0.0375,-0.0527,-0.0841,0.0183,0.9,-1.26,-2.42,0.44,-1.52,-0.82,-1.52,-0.12,1.71,0.0,-0.29,-2.27,8.28,1.38,3.88,1.9,14.66,0.65,0.0,0.0,10.0,18.0
2015,8474013,Ian.Cole,D,999.5,24.1,147.8,1206.7,0.1902,0.0723,-0.1046,0.1251,3.17,1.2,-1.81,2.08,1.36,3.28,-0.4,0.04,-2.84,0.0,1.17,1.44,8.24,1.37,2.79,3.65,12.83,0.46,0.0,0.0,28.0,10.0
2015,8476885,Jacob.Trouba,D,1406.4,102.1,210.7,1787.4,-0.0805,0.0885,-0.0292,0.065,-1.89,2.07,-1.77,1.52,-3.66,3.59,-0.32,-0.14,-1.2,-0.0,-1.48,-1.73,8.24,1.37,3.91,1.81,14.67,0.65,0.0,1.0,23.0,14.0
2015,8474520,Jason.Garrison,D,1098.3,45.7,131.1,1329.4,-0.1778,0.1587,0.0774,0.0834,-3.25,2.91,1.09,1.53,-2.16,4.44,-0.71,0.04,-0.78,0.0,-1.79,0.83,8.23,1.37,3.03,3.25,13.21,0.5,0.0,0.0,9.0,3.0
2015,8475462,Radko.Gudas,D,1238.4,11.0,196.9,1508.2,0.0782,0.0304,-0.0271,0.0518,1.61,0.63,-0.73,1.07,0.88,1.7,-0.15,0.01,-2.61,0.0,-0.51,-0.17,8.22,1.37,3.69,2.15,14.29,0.62,0.0,0.0,37.0,20.0
2015,8471716,Justin.Abdelkader,F,1093.8,222.1,126.0,1511.7,-0.1204,0.0124,0.0637,0.0279,-2.19,0.23,2.08,0.51,-0.11,0.74,0.04,0.08,-0.91,-0.01,-2.76,-0.17,8.19,1.36,3.15,3.01,13.37,0.52,0.0,3.0,49.0,42.0
2015,8475772,Riley.Sheahan,F,942.2,90.6,157.0,1233.7,0.0997,0.0501,-0.0307,-0.0104,1.57,0.79,-0.4,-0.16,1.17,0.63,-0.36,-0.02,0.06,-0.21,1.83,1.27,8.17,1.36,2.69,3.74,12.6,0.45,276.0,329.0,6.0,5.0
2015,8475220,Marcus.Foligno,F,925.8,16.4,28.8,988.8,-0.2571,0.119,0.1096,0.0798,-3.97,1.84,1.69,1.23,-2.28,3.07,0.52,0.0,1.2,-0.01,-0.42,2.5,8.13,1.36,2.7,3.69,12.57,0.45,1.0,3.0,21.0,27.0
2015,8474573,Josh.Bailey,F,1098.8,114.5,39.0,1283.8,0.1556,-0.0571,-0.1094,0.0227,2.85,-1.05,-1.26,0.42,1.59,-0.63,-0.1,0.03,0.07,-0.03,1.77,0.93,8.19,1.36,3.01,3.24,13.14,0.5,7.0,14.0,11.0,10.0
2015,8477413,Sven.Andrighetto,F,552.9,57.6,0.3,621.2,0.1733,0.1409,0.0383,0.0418,1.6,1.3,0.39,0.39,1.99,1.69,-0.19,-0.0,1.13,-0.01,3.83,4.61,8.15,1.36,1.7,5.35,10.95,0.28,2.0,4.0,3.0,9.0
2015,8477495,Seth.Jones,D,1370.7,191.4,157.2,1788.2,0.1133,0.0526,-0.1666,-0.021,2.59,1.2,-4.37,-0.48,-1.78,0.72,-2.34,-0.1,1.69,0.0,3.04,-1.81,8.16,1.36,3.74,2.01,14.31,0.62,0.0,0.0,11.0,19.0
2015,8473465,Jamie.McGinn,F,975.0,198.1,0.5,1200.6,-0.0521,0.0738,0.1204,-0.1299,-0.85,1.2,2.6,-2.11,1.75,-0.91,0.1,0.0,0.39,0.0,0.84,1.33,8.14,1.36,2.94,3.3,12.98,0.49,4.0,3.0,10.0,11.0
2015,8474161,Jakub.Voracek,F,1033.1,241.1,2.1,1356.8,0.2754,0.0138,-0.1275,0.0476,4.74,0.24,-7.08,0.82,-2.34,1.06,0.88,0.0,1.1,0.0,6.96,0.7,8.1,1.35,2.91,3.31,12.89,0.49,2.0,2.0,19.0,24.0
2015,8469466,Ales.Hemsky,F,825.5,115.9,0.7,982.6,0.2521,-0.0165,0.1236,-0.0556,3.47,-0.23,1.49,-0.76,4.96,-0.99,-1.53,-0.0,0.18,-0.0,1.89,2.62,8.09,1.35,2.34,4.24,11.94,0.39,0.0,1.0,10.0,10.0
2015,8475170,Brayden.Schenn,F,1031.4,270.7,0.9,1351.5,-0.0989,-0.0608,0.0353,-0.0047,-1.7,-1.05,-0.07,-0.08,-1.77,-1.13,1.93,-0.0,1.44,-0.02,0.6,0.45,8.01,1.34,2.95,3.16,12.86,0.49,47.0,52.0,12.0,19.0
2015,8469492,Fedor.Tyutin,D,927.4,4.4,115.3,1073.0,0.0181,0.0883,0.0394,0.0422,0.28,1.36,0.61,0.65,0.89,2.01,-0.07,-0.19,-0.82,0.0,0.56,1.82,7.89,1.32,2.63,3.56,12.22,0.44,0.0,0.0,13.0,7.0
