player_id,player_name,position,season,GP,toi_min,daily_GP,age,curr_O,curr_D,curr_O_se,curr_D_se,prior_O,prior_D,prior_O_se,prior_D_se,cf_O,cf_D,cf_total,cf_O_se,cf_D_se,data_weight_O,data_weight_D,retain_O,retain_D,composite_O,composite_D,PV_O,PV_D,IV_O,IV_D,GV_O,GV_D,OOI_O,OOI_D,RAPM_O,RAPM_D,PP_rate,PK_rate,sit_pk,sit_pp,sit_5v5,EV_O_GAR,EV_D_GAR,PP_GAR,PK_GAR,GAR_O,GAR_D,WAR_O,WAR_D,WAR,WAR_82
8476289,Alexey Marchenko,D,2015,66,947.6,66,24.0,-0.1193,-0.0727,0.2756,0.1378,0.0,0.0,0.4,0.2,-0.0809,-0.0493,-0.1302,0.227,0.1135,0.678,0.678,0.745,0.869,-0.1193,-0.0727,-0.0364,0.0445,-0.2355,-0.1855,-0.2271,0.1248,1.3731,-2.2552,0.0191,-0.0574,0.0,0.0222,135.1,1.5,947.6,-1.28,-0.78,0.0,0.05,-1.28,-0.73,0.18,0.2,0.38,0.47
8475314,Anders Lee,L,2015,80,935.2,80,26.0,0.3621,0.1246,0.2775,0.1387,0.0,0.0,0.4,0.2,0.2445,0.0841,0.3286,0.228,0.114,0.675,0.675,0.737,0.87,0.3621,0.1246,0.2575,0.0043,-0.9028,1.5261,-0.4362,0.0111,-0.4592,1.3758,0.4721,0.0254,0.1145,0.0,1.6,188.6,935.2,3.81,1.31,0.36,0.0,4.17,1.31,1.51,0.71,2.22,2.28
8477444,Andre Burakovsky,L,2015,79,947.2,79,21.0,0.3459,-0.1542,0.2757,0.1379,0.0,0.0,0.4,0.2,0.2345,-0.1045,0.13,0.227,0.1135,0.678,0.678,0.759,0.868,0.3459,-0.1542,0.2393,-0.0125,-0.9168,0.9852,0.4115,-0.013,0.1212,0.1359,-0.1383,0.3194,-0.0505,0.0,0.3,59.4,947.2,3.7,-1.65,-0.05,0.0,3.65,-1.65,1.34,0.16,1.5,1.56
8476960,Andreas Athanasiou,L,2015,37,305.0,37,22.0,0.5561,-0.1405,0.4859,0.2429,0.0,0.0,0.4,0.2,0.2246,-0.0568,0.1679,0.3088,0.1544,0.404,0.404,0.754,0.868,0.5561,-0.1405,0.4192,0.1314,-0.6765,0.8687,0.4212,0.3149,0.2072,-0.0743,0.095,-0.2335,0.0,0.0,18.6,0.7,305.0,1.14,-0.29,0.0,0.0,1.14,-0.29,0.42,0.09,0.51,1.13
8478561,Andreas Martinsen,L,2015,55,589.0,55,26.0,-0.8103,0.5761,0.3496,0.1748,0.0,0.0,0.4,0.2,-0.4594,0.3266,-0.1328,0.2632,0.1316,0.567,0.567,0.737,0.87,-0.8103,0.5761,-0.5228,0.0719,-2.4674,2.3616,-0.4562,0.0804,-2.6371,2.9909,-0.4013,0.1113,0.0,0.0,1.2,2.5,589.0,-4.51,3.21,0.0,0.0,-4.51,3.21,-0.32,0.79,0.47,0.7
8467496,Andrei Markov,D,2015,82,1402.8,82,38.0,0.04,-0.213,0.2266,0.1133,0.0,0.0,0.4,0.2,0.0303,-0.1613,-0.131,0.1971,0.0986,0.757,0.757,0.695,0.883,0.04,-0.213,0.0753,-0.095,-0.0286,-0.3265,0.0476,-0.1335,1.8038,-2.2953,-0.0797,-0.0031,0.0022,0.052,184.6,268.1,1402.8,0.71,-3.77,0.01,0.16,0.72,-3.61,0.79,-0.05,0.74,0.74
8475250,Andrej Nestrasil,C,2015,55,706.7,55,25.0,-0.0376,-0.1543,0.3192,0.1596,0.0,0.0,0.4,0.2,-0.023,-0.0943,-0.1172,0.2495,0.1247,0.611,0.611,0.741,0.869,-0.0376,-0.1543,-0.0193,0.0272,-1.4253,0.9454,0.0387,0.0585,-0.8258,0.1032,-0.1153,0.1868,0.0596,0.0,0.7,70.5,706.7,-0.27,-1.11,0.07,0.0,-0.2,-1.11,0.53,0.15,0.68,1.01
8471284,Andrej Sekera,D,2015,81,1392.2,81,30.0,-0.2968,-0.0415,0.2274,0.1137,0.0,0.0,0.4,0.2,-0.2243,-0.0314,-0.2557,0.1977,0.0988,0.756,0.756,0.721,0.873,-0.2968,-0.0415,-0.1597,-0.0888,-0.4673,0.0102,-0.2178,-0.1795,1.068,-1.6543,-0.1249,0.4995,-0.1433,0.0,124.0,180.0,1392.2,-5.2,-0.73,-0.43,0.0,-5.63,-0.73,-0.33,0.38,0.05,0.05
8477205,Andrej Sustr,D,2015,77,1122.7,77,26.0,0.094,-0.1529,0.2532,0.1266,0.0,0.0,0.4,0.2,0.0671,-0.1092,-0.042,0.214,0.107,0.714,0.714,0.737,0.87,0.094,-0.1529,0.1237,-0.0108,0.0311,-0.2906,0.185,0.0262,1.8183,-2.1618,0.0954,-0.2068,0.0,0.0781,138.2,4.5,1122.7,1.26,-2.04,0.0,0.18,1.26,-1.86,0.67,0.06,0.73,0.78
8473550,Andrew Bodnarchuk,D,2015,37,441.9,37,28.0,-0.1131,-0.0122,0.4036,0.2018,0.0,0.0,0.4,0.2,-0.056,-0.006,-0.0621,0.2841,0.1421,0.495,0.495,0.729,0.871,-0.1131,-0.0122,0.0028,-0.051,-0.2622,0.0311,-0.2896,-0.0526,1.0409,-1.3056,0.2504,-0.3304,0.0,0.0,9.4,2.1,441.9,-0.41,-0.04,0.0,0.0,-0.41,-0.04,0.09,0.13,0.22,0.49
8471699,Andrew Cogliano,L,2015,82,993.6,82,29.0,0.1108,0.1467,0.2692,0.1346,0.0,0.0,0.4,0.2,0.0763,0.101,0.1772,0.2233,0.1117,0.688,0.688,0.725,0.872,0.1108,0.1467,0.0589,0.0595,-1.2067,1.5151,-0.3726,0.0903,-0.6607,1.2689,0.2244,0.1158,0.0,0.1938,151.7,5.1,993.6,1.26,1.67,0.0,0.49,1.26,2.16,1.04,0.86,1.9,1.9
8477429,Andrew Copp,C,2015,77,550.2,77,22.0,-0.1732,0.2154,0.3617,0.1809,0.0,0.0,0.4,0.2,-0.0953,0.1185,0.0232,0.2683,0.1342,0.55,0.55,0.754,0.868,-0.1732,0.2154,-0.0843,0.0331,-1.6316,1.6789,-0.294,0.0223,-1.5198,1.4538,0.3433,0.6196,0.0,-0.0098,61.4,2.4,550.2,-0.87,1.09,0.0,-0.01,-0.87,1.08,0.3,0.45,0.75,0.8
8471956,Andrew Desjardins,L,2015,77,872.2,77,30.0,-0.9387,0.4406,0.2873,0.1437,0.0,0.0,0.4,0.2,-0.6192,0.2906,-0.3286,0.2334,0.1167,0.66,0.66,0.721,0.873,-0.9387,0.4406,-0.7517,0.1708,-2.4951,1.9916,-1.5747,0.2434,-2.3683,1.755,-0.3036,0.1822,0.0,-0.0276,130.6,5.3,872.2,-9.0,4.22,0.0,-0.06,-9.0,4.16,-0.77,1.13,0.36,0.38
8471217,Andrew Ladd,L,2015,78,1051.6,78,31.0,-0.2214,0.2066,0.2617,0.1308,0.0,0.0,0.4,0.2,-0.1551,0.1447,-0.0104,0.219,0.1095,0.7,0.7,0.718,0.874,-0.2214,0.2066,-0.157,0.0511,-1.6552,1.6433,-0.197,0.0746,-1.1171,1.5628,-0.3952,0.3061,-0.2077,-0.039,138.4,202.2,1051.6,-2.72,2.54,-0.7,-0.09,-3.42,2.45,0.44,1.02,1.46,1.53
8473584,Andrew MacDonald,D,2015,28,467.7,28,30.0,0.0165,-0.0494,0.3924,0.1962,0.0,0.0,0.4,0.2,0.0084,-0.0252,-0.0168,0.2801,0.1401,0.51,0.51,0.721,0.873,0.0165,-0.0494,0.0935,-0.0692,-0.0937,-0.0252,0.2694,-0.1092,1.6037,-1.9127,0.0051,0.3755,-0.0625,-0.0362,49.7,19.2,467.7,0.07,-0.2,-0.02,-0.03,0.05,-0.23,0.2,0.12,0.32,0.94
8476381,Andrew Shaw,R,2015,78,961.0,78,25.0,-0.172,0.2192,0.2737,0.1369,0.0,0.0,0.4,0.2,-0.1171,0.1493,0.0321,0.2259,0.1129,0.681,0.681,0.741,0.869,-0.172,0.2192,-0.1066,0.0538,-1.6069,1.6658,-0.076,0.0962,-1.1654,1.6466,-0.0623,-0.2514,0.0791,0.0,0.9,144.2,961.0,-1.88,2.39,0.19,0.0,-1.69,2.39,0.52,0.88,1.4,1.47
8476404,Andy Andreoff,L,2015,59,517.1,59,27.0,-0.3402,0.1429,0.3731,0.1866,0.0,0.0,0.4,0.2,-0.1819,0.0764,-0.1055,0.2729,0.1364,0.535,0.535,0.733,0.87,-0.3402,0.1429,-0.2038,0.0503,-1.8461,1.5166,-0.5928,0.1162,-1.8135,1.2041,-0.1516,-0.1287,0.0,0.0,2.3,5.5,518.1,-1.57,0.66,0.0,0.0,-1.57,0.66,0.12,0.34,0.46,0.64
8472382,Andy Greene,D,2015,82,1488.8,82,34.0,-0.3158,0.1379,0.2199,0.11,0.0,0.0,0.4,0.2,-0.2425,0.1059,-0.1366,0.1927,0.0964,0.768,0.768,0.708,0.877,-0.3158,0.1379,-0.1731,0.0971,-0.4918,0.1833,-0.3794,0.1718,0.8572,-1.5396,0.2736,0.1312,-0.0476,0.0909,270.7,25.2,1488.8,-6.02,2.63,-0.02,0.41,-6.04,3.04,-0.36,1.03,0.67,0.67
8475868,Anthony Bitetto,D,2015,28,333.2,28,26.0,0.1472,0.3374,0.4649,0.2324,0.0,0.0,0.4,0.2,0.0626,0.1435,0.2062,0.3032,0.1516,0.425,0.425,0.737,0.87,0.1472,0.3374,0.1504,0.0312,0.1107,0.648,-0.2541,0.0848,1.8432,-0.4311,-0.0223,0.0168,0.0,0.0,1.4,2.2,333.2,0.35,0.8,0.0,0.0,0.35,0.8,0.18,0.23,0.41,1.2
8477407,Anthony Duclair,L,2015,81,921.9,81,21.0,0.2217,-0.144,0.2795,0.1397,0.0,0.0,0.4,0.2,0.149,-0.0968,0.0522,0.2291,0.1145,0.672,0.672,0.759,0.868,0.2217,-0.144,0.224,-0.0271,-1.1502,1.0203,0.8518,-0.0219,-0.4371,0.3202,-0.0326,0.03,-0.0,0.0,0.2,221.8,921.9,2.29,-1.49,-0.0,0.0,2.29,-1.49,1.21,0.25,1.46,1.48
8474061,Anthony Peluso,R,2015,34,220.3,34,27.0,-0.5844,0.7871,0.5717,0.2858,0.0,0.0,0.4,0.2,-0.1921,0.2587,0.0666,0.3277,0.1639,0.329,0.329,0.733,0.87,-0.5844,0.7871,-0.3212,0.0659,-2.2171,2.7894,-0.2024,0.0828,-2.446,3.9971,-0.3637,0.0026,0.0,0.0,0.0,1.3,221.7,-0.71,0.96,0.0,0.0,-0.71,0.96,0.04,0.26,0.3,0.72
8474849,Antoine Roussel,L,2015,80,946.0,80,27.0,-0.4499,0.2625,0.2759,0.1379,0.0,0.0,0.4,0.2,-0.3049,0.1779,-0.127,0.2271,0.1136,0.678,0.678,0.733,0.87,-0.4499,0.2625,-0.2893,0.0543,-1.9801,1.7519,-0.2137,0.0738,-1.7674,1.7454,-0.236,0.1525,-0.0772,-0.0116,103.4,31.1,946.0,-4.81,2.8,-0.04,-0.02,-4.85,2.78,-0.03,0.94,0.91,0.93
8468535,Antoine Vermette,C,2015,76,932.0,76,34.0,-0.2714,-0.068,0.2779,0.139,0.0,0.0,0.4,0.2,-0.183,-0.0459,-0.2289,0.2283,0.1141,0.674,0.674,0.708,0.877,-0.2714,-0.068,-0.1866,-0.0477,-1.7258,1.1928,-0.2696,-0.0852,-1.3326,0.7056,-0.1256,-0.1182,0.003,-0.0772,77.7,197.1,932.0,-2.84,-0.71,0.01,-0.1,-2.83,-0.81,0.4,0.39,0.79,0.85
8475165,Anton Lander,C,2015,61,554.6,61,25.0,-0.8503,0.0021,0.3603,0.1802,0.0,0.0,0.4,0.2,-0.4694,0.0012,-0.4683,0.2677,0.1339,0.552,0.552,0.741,0.869,-0.8503,0.0021,-0.585,-0.0116,-2.4851,1.2971,-1.0867,-0.0471,-2.8459,0.8192,0.0996,-0.0202,-0.0,-0.0211,114.0,49.6,554.6,-4.34,0.01,-0.0,-0.04,-4.34,-0.03,-0.2,0.31,0.11,0.15
8471873,Anton Stralman,D,2015,72,1182.3,72,30.0,0.2911,-0.0505,0.2468,0.1234,0.0,0.0,0.4,0.2,0.2108,-0.0366,0.1743,0.21,0.105,0.724,0.724,0.721,0.873,0.2911,-0.0505,0.278,0.0352,0.2709,-0.1317,-0.0882,0.1021,1.8107,-2.1315,0.5638,0.1014,-0.1937,0.05,144.0,201.3,1182.9,4.16,-0.72,-0.65,0.12,3.51,-0.6,1.14,0.35,1.49,1.7
8471685,Anze Kopitar,C,2015,81,1243.6,81,29.0,0.4803,-0.0414,0.2406,0.1203,0.0,0.0,0.4,0.2,0.3527,-0.0304,0.3223,0.2062,0.1031,0.734,0.734,0.725,0.872,0.4803,-0.0414,0.3255,0.0981,-0.7343,1.1002,0.6758,0.1927,0.5084,0.2737,-0.0479,0.1214,0.1945,-0.1143,162.7,200.5,1243.6,7.31,-0.63,0.65,-0.31,7.96,-0.94,2.49,0.55,3.04,3.08
8473573,Artem Anisimov,C,2015,77,1075.6,77,28.0,0.1959,-0.2576,0.2587,0.1294,0.0,0.0,0.4,0.2,0.1381,-0.1816,-0.0435,0.2172,0.1086,0.705,0.705,0.729,0.871,0.1959,-0.2576,0.2148,-0.036,-1.1923,0.802,0.1579,0.0146,-0.9125,0.1959,0.1261,-0.4656,0.0739,-0.0123,97.2,170.5,1075.6,2.48,-3.26,0.21,-0.02,2.69,-3.28,1.42,0.04,1.46,1.55
8478550,Artemi Panarin,L,2015,80,1195.4,80,25.0,0.4025,-0.2779,0.2454,0.1227,0.0,0.0,0.4,0.2,0.2924,-0.2019,0.0905,0.2092,0.1046,0.727,0.727,0.741,0.869,0.4025,-0.2779,0.3153,-0.0685,-0.8797,0.7939,0.4288,-0.0581,0.0445,0.1316,-0.4601,0.0573,0.0,0.0,0.9,211.0,1195.4,5.83,-4.02,0.0,0.0,5.83,-4.02,1.99,-0.06,1.93,1.98
8475766,Austin Watson,L,2015,57,515.2,57,24.0,-1.0767,0.5974,0.3738,0.1869,0.0,0.0,0.4,0.2,-0.5747,0.3189,-0.2558,0.2731,0.1366,0.534,0.534,0.745,0.869,-1.0767,0.5974,-0.7567,0.1068,-2.7662,2.3692,-0.8559,0.0684,-3.0649,2.5088,0.21,0.6401,0.0,0.0,43.4,1.5,515.2,-4.93,2.74,0.0,0.0,-4.93,2.74,-0.42,0.7,0.28,0.4
8467890,Barret Jackman,D,2015,73,942.1,73,35.0,-0.272,0.1356,0.2765,0.1382,0.0,0.0,0.4,0.2,-0.1841,0.0918,-0.0923,0.2274,0.1137,0.677,0.677,0.704,0.879,-0.272,0.1356,-0.1038,0.0353,-0.4735,0.2404,-0.2059,0.0889,0.8537,-1.4267,-0.0665,0.2825,0.0,-0.0297,60.7,1.2,942.1,-2.89,1.44,0.0,-0.03,-2.89,1.41,-0.12,0.53,0.41,0.46
