goalie_id,goalie_name,season,shots_faced,goals_against,xGA,sv_pct,GSAx,GSAx_adj,GOALIE_GAR,GOALIE_WAR
8471679,Carey.Price,2015,2305,158,148.32608291,0.9314533622559653,-9.673917090000003,30.067563198177787,40.36,6.73
8471239,Cory.Schneider,2015,1979,147,136.18439925,0.9257200606366852,-10.815600749999987,23.305175601541812,32.14,5.36
8474651,Braden.Holtby,2015,2447,179,157.76776846,0.9268492031058438,-21.232231539999987,20.957530831006977,31.88,5.31
8470645,Corey.Crawford,2015,2272,173,152.63503102,0.9238556338028169,-20.364968979999986,18.8075443452668,28.95,4.82
8470594,Marc.Andre.Fleury,2015,1968,157,141.83921389,0.9202235772357723,-15.160786110000004,18.770334587238125,27.56,4.59
8468685,Henrik.Lundqvist,2015,1899,144,128.27843915,0.9241706161137441,-15.721560850000003,17.019901652060575,25.5,4.25
8471750,Ben.Bishop,2015,2275,186,161.84304259,0.9182417582417582,-24.15695740999999,15.06728018462234,25.23,4.2
8473461,Steve.Mason,2015,1491,108,99.9078882,0.9275653923541247,-8.092111799999998,17.614850069706332,24.27,4.04
8471227,Devan.Dubnyk,2015,1876,139,120.61396516,0.92590618336887,-18.386034839999994,13.95887493033473,22.34,3.72
8475663,Eddie.Lack,2015,1278,104,94.27757176,0.918622848200313,-9.72242824,12.312110505462567,18.02,3.0
8473575,Semyon.Varlamov,2015,1777,140,119.15834602,0.9212155317951604,-20.841653980000004,9.796354901601703,17.73,2.96
8471715,Ondrej.Pavelec,2015,1490,123,108.31624351,0.9174496644295302,-14.683756489999993,11.00596395658782,17.66,2.94
8477202,Andrew.Hammond,2015,788,49,48.67075994,0.9378172588832487,-0.3292400599999965,13.257001357390068,16.78,2.8
8475717,Calvin.Pickard,2015,511,35,39.02332568,0.9315068493150684,4.023325679999999,12.833692893561324,15.12,2.52
8470860,Jaroslav.Halak,2015,1878,156,130.22963666,0.9169329073482428,-25.77036333999999,6.609029276571768,14.99,2.5
8474550,Antti.Niemi,2015,1798,155,129.16359456,0.9137931034482759,-25.836405439999993,5.163673327090535,13.19,2.2
8471734,Jonathan.Quick,2015,1892,155,126.764324,0.9180761099365751,-28.235675999999998,4.385096540230968,12.83,2.14
8471695,Tuukka.Rask,2015,2012,156,125.09517781,0.9224652087475149,-30.904822190000004,3.7849211244528007,12.77,2.13
8475660,Cam.Talbot,2015,1038,77,66.69410762,0.9258188824662813,-10.305892380000003,7.590704817018889,12.23,2.04
8466141,Roberto.Luongo,2015,1741,138,111.7590023,0.9207352096496266,-26.240997699999994,3.7763199493351607,11.55,1.92
8474152,Scott.Darling,2015,590,38,36.4959544,0.9355932203389831,-1.5040455999999978,8.668394039924035,11.3,1.88
8473541,Jonathan.Bernier,2015,1735,152,125.36876546,0.9123919308357349,-26.631234539999994,3.2826345706240687,11.03,1.84
8467950,Craig.Anderson,2015,1277,91,73.2928086,0.9287392325763508,-17.7071914,4.310105922344054,10.01,1.67
8473972,Jonas.Hiller,2015,1543,127,103.06611946,0.9176928062216462,-23.933880540000004,2.66963533186912,9.56,1.59
8477293,Antti.Raanta,2015,388,24,23.85530687,0.9381443298969072,-0.14469313000000028,6.54497903998394,8.28,1.38
8475852,Petr.Mrazek,2015,953,77,64.47339388,0.919202518363064,-12.526606119999997,3.904470111945095,8.16,1.36
8471469,Pekka.Rinne,2015,2015,158,121.2824671,0.9215880893300248,-36.717532899999995,-1.9760653161916437,7.02,1.17
8473607,Michal.Neuvirth,2015,1073,91,74.41351338,0.9151910531220876,-16.586486620000002,1.9135603861669246,6.7,1.12
8475683,Sergei.Bobrovsky,2015,1625,133,103.21944951,0.9181538461538462,-29.780550489999996,-1.763237922412614,5.49,0.92
8476844,Niklas.Svedberg,2015,423,34,29.93440891,0.9196217494089834,-4.065591090000002,3.227530889131975,5.12,0.85
8476316,Laurent.Brossoit,2015,51,2,5.17747231,0.9607843137254902,3.1774723099999997,4.05678488904428,4.28,0.71
8476883,Andrei.Vasilevskiy,2015,473,40,33.97237148,0.9154334038054969,-6.02762852,2.127564615057741,4.24,0.71
8471403,Karri.Ramo,2015,1025,91,72.94073944,0.911219512195122,-18.05926056,-0.38680186352180357,4.19,0.7
8474596,Jake.Allen,2015,1034,91,72.76457312,0.9119922630560928,-18.235426880000006,-0.40779537545517286,4.21,0.7
8470147,Curtis.McElhinney,2015,949,82,65.50026304000001,0.9135932560590094,-16.499736959999993,-0.13762642052896368,4.1,0.68
8470880,Brian.Elliott,2015,1158,96,74.79683271,0.917098445595855,-21.203167289999996,-1.2375993187592655,3.93,0.66
8474636,Michael.Hutchinson,2015,970,85,67.58131104,0.9123711340206185,-17.418688959999997,-0.6945085350401463,3.64,0.61
8477084,Mackenzie.Skapski,2015,45,1,3.52189667,0.9777777777777777,2.52189667,3.297760710333189,3.5,0.58
8473614,Richard.Bachman,2015,168,15,13.15786694,0.9107142857142857,-1.84213306,1.054426023910572,1.8,0.3
8474591,Tom.McCollum,2015,25,1,2.18281554,0.96,1.18281554,1.6138511179628827,1.73,0.29
8477234,Troy.Grosenick,2015,58,3,3.2584873599999997,0.9482758620689655,0.2584873599999997,1.2584899008738877,1.52,0.25
8471774,Alex.Stalock,2015,554,54,43.13304427,0.9025270758122743,-10.86695573,-1.315207322342518,1.16,0.19
8473499,Reto.Berra,2015,386,33,25.76486045,0.9145077720207254,-7.2351395499999995,-0.5799502262530893,1.14,0.19
8473503,James.Reimer,2015,1001,93,72.37929716,0.9070929070929071,-20.620702840000007,-3.36203829836618,1.11,0.19
8476434,John.Gibson,2015,671,57,43.04568318,0.9150521609538003,-13.954316820000003,-2.3853219074762286,0.61,0.1
