player_id,season,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D
8470655,2015,0.1454,0.0087,0.1367,0.0663,0.0692,1.4233,0.2611,1.1622,0.022,0.0232,2.0578,1.229,0.8288,0.0323,0.034,-1.3416,1.2009,-2.5425,0.0088,0.0093,-0.385,0.9648,-1.3498,0.0059,0.0062,0.6738,0.3474,1.0212,0.0341,0.0356,0.0493,David.Backes,F,0.0337,0.0215
8470041,2015,0.0994,-0.0424,0.1418,0.065,0.0684,1.1014,1.1428,-0.0414,0.022,0.0232,1.0525,0.8632,0.1893,0.0323,0.034,2.4656,0.5105,1.9552,0.0088,0.0093,0.1648,-1.507,1.6717,0.0059,0.0062,0.5878,0.431,1.0188,0.0334,0.0352,0.0485,Rick.Nash,F,0.1041,-0.0157
8474291,2015,0.2004,0.2646,-0.0642,0.0681,0.071,0.6687,-0.0331,0.7018,0.022,0.0232,0.327,1.6382,-1.3111,0.0323,0.034,0.2103,0.6799,-0.4696,0.0088,0.0093,-2.2217,-2.6228,0.4011,0.0059,0.0062,0.3739,0.6334,1.0074,0.0349,0.0365,0.0505,Jay.Beagle,F,0.0096,-0.0198
8473588,2015,0.0457,0.1835,-0.1378,0.0677,0.071,0.9032,1.5185,-0.6154,0.022,0.0232,0.2758,1.1542,-0.8784,0.0323,0.034,1.8239,-0.6367,2.4606,0.0088,0.0093,-2.1349,-0.7514,-1.3835,0.0059,0.0062,0.4138,0.5653,0.9791,0.0347,0.0365,0.0504,Erik.Condra,F,-0.0018,-0.0136
8470612,2015,0.1976,0.1225,0.075,0.0648,0.0677,-0.5819,0.5415,-1.1233,0.022,0.0232,0.1163,4.0242,-3.9079,0.0323,0.034,-0.3085,-1.5201,1.2117,0.0088,0.0093,0.1263,-0.636,0.7624,0.0059,0.0062,0.0135,0.962,0.9756,0.0333,0.0348,0.0482,Ryan.Getzlaf,F,0.0628,0.0488
8475726,2015,0.1648,0.0351,0.1297,0.0671,0.0714,1.8291,-0.3473,2.1765,0.022,0.0232,2.538,-0.209,2.747,0.0323,0.034,-1.4566,0.0198,-1.4764,0.0088,0.0093,-1.7032,-3.3694,1.6661,0.0059,0.0062,0.8959,0.0554,0.9513,0.0345,0.0366,0.0503,Tyler.Toffoli,F,0.084,-0.0283
8476458,2015,0.1355,0.0763,0.0591,0.0657,0.0693,2.0223,-0.3447,2.367,0.022,0.0232,1.3518,1.116,0.2358,0.0323,0.034,0.5896,-0.2904,0.88,0.0088,0.0093,-0.8433,0.0669,-0.9102,0.0059,0.0062,0.7376,0.2119,0.9495,0.0338,0.0356,0.0491,Ryan.Strome,F,0.0337,-0.0439
8475164,2015,0.0704,0.0799,-0.0095,0.0655,0.0684,0.8317,0.7522,0.0796,0.022,0.0232,0.0895,1.871,-1.7814,0.0323,0.034,-0.3777,-0.0871,-0.2906,0.0088,0.0093,-2.6096,-3.0048,0.3952,0.0059,0.0062,0.2614,0.6794,0.9407,0.0337,0.0352,0.0487,Jakob.Silfverberg,F,0.0615,0.0656
8467331,2015,0.0339,0.3748,-0.3408,0.0679,0.0687,0.6441,1.5775,-0.9333,0.022,0.0232,0.0826,1.3688,-1.2862,0.0323,0.034,0.4194,0.8187,-0.3992,0.0088,0.0093,-0.0358,0.0352,-0.071,0.0059,0.0062,0.1583,0.7729,0.9312,0.0348,0.0353,0.0496,Brad.Stuart,D,0.0243,-0.0054
8474569,2015,0.2698,0.2619,0.0079,0.0659,0.0694,-0.4007,1.2565,-1.6572,0.022,0.0232,0.2304,2.265,-2.0345,0.0323,0.034,-0.7394,-1.7694,1.03,0.0088,0.0093,-1.2797,-1.992,0.7124,0.0059,0.0062,0.1323,0.7912,0.9235,0.0339,0.0357,0.0492,Colin.Wilson,F,0.0405,0.005
8473564,2015,0.0991,0.0137,0.0853,0.0659,0.0697,0.3171,0.2732,0.0439,0.022,0.0232,1.8066,1.3447,0.4619,0.0323,0.034,-0.6115,-1.77,1.1585,0.0088,0.0093,-2.3838,-3.1198,0.736,0.0059,0.0062,0.5532,0.3623,0.9155,0.0339,0.0358,0.0493,Michael.Frolik,F,0.0585,0.0175
8471742,2015,0.0871,0.0899,-0.0028,0.0656,0.0684,0.7219,-0.4189,1.1407,0.022,0.0232,1.2267,2.4687,-1.242,0.0323,0.034,0.1074,-0.5073,0.6147,0.0088,0.0093,1.5005,-0.7734,2.2739,0.0059,0.0062,0.3681,0.5257,0.8939,0.0337,0.0352,0.0487,Cody.Franson,D,0.0533,-0.055
8470595,2015,0.202,0.1314,0.0706,0.0653,0.0697,0.0407,0.9557,-0.915,0.022,0.0232,0.6688,2.1164,-1.4476,0.0323,0.034,0.2498,-2.5635,2.8133,0.0088,0.0093,-2.2258,-0.1713,-2.0546,0.0059,0.0062,0.3583,0.5277,0.886,0.0336,0.0358,0.0491,Eric.Staal,F,0.061,0.0012
8467875,2015,0.1642,-0.1293,0.2935,0.066,0.0695,-0.8519,0.2684,-1.1203,0.022,0.0232,3.0775,0.8682,2.2093,0.0323,0.034,-0.8462,-1.4559,0.6097,0.0088,0.0093,-3.5491,-2.0295,-1.5196,0.0059,0.0062,0.7226,0.1604,0.883,0.0339,0.0357,0.0493,Daniel.Sedin,F,0.1017,-0.0715
8474642,2015,0.286,-0.0647,0.3507,0.0677,0.0695,1.2967,0.8909,0.4057,0.022,0.0232,0.9797,1.1085,-0.1288,0.0323,0.034,0.7949,0.3263,0.4687,0.0088,0.0093,0.9216,1.1828,-0.2612,0.0059,0.0062,0.5639,0.3174,0.8813,0.0347,0.0357,0.0498,Lance.Bouma,F,0.0023,0.0455
8470159,2015,-0.0359,0.1053,-0.1413,0.0696,0.0722,0.3859,0.7303,-0.3444,0.022,0.0232,0.4942,2.0766,-1.5824,0.0323,0.034,-0.2126,0.2338,-0.4464,0.0088,0.0093,-1.9705,-0.7911,-1.1794,0.0059,0.0062,0.2147,0.6647,0.8794,0.0357,0.037,0.0514,Boyd.Gordon,F,-0.0426,0.0159
8471769,2015,-0.0564,0.0037,-0.06,0.062,0.065,0.22,1.8734,-1.6534,0.022,0.0232,2.637,-1.077,3.714,0.0323,0.034,1.6357,1.2975,0.3382,0.0088,0.0093,-1.4945,-0.2331,-1.2614,0.0059,0.0062,0.7429,0.1331,0.876,0.032,0.0335,0.0463,Niklas.Hjalmarsson,D,0.0195,0.0366
8477930,2015,0.1064,0.1789,-0.0725,0.0688,0.0714,0.21,0.7595,-0.5495,0.022,0.0232,1.2582,1.2939,-0.0357,0.0323,0.034,-1.1326,0.7577,-1.8903,0.0088,0.0093,-0.877,-0.3313,-0.5456,0.0059,0.0062,0.3286,0.5467,0.8754,0.0353,0.0366,0.0509,Pierre.Edouard.Bellemare,F,0.0029,0.0322
8468483,2015,0.2891,0.0968,0.1922,0.067,0.0715,1.3466,-0.064,1.4107,0.022,0.0232,0.9416,1.1331,-0.1916,0.0323,0.034,-0.6049,-1.6246,1.0197,0.0088,0.0093,-1.0889,-2.6178,1.5289,0.0059,0.0062,0.561,0.2953,0.8563,0.0344,0.0367,0.0503,Marian.Gaborik,F,0.083,-0.0226
8474162,2015,0.0795,0.1606,-0.0811,0.0645,0.0688,-0.4866,0.669,-1.1556,0.022,0.0232,0.0155,2.6794,-2.6639,0.0323,0.034,-0.8723,0.7389,-1.6112,0.0088,0.0093,-0.0364,-2.4823,2.4459,0.0059,0.0062,-0.0807,0.9137,0.833,0.0332,0.0354,0.0485,Jake.Muzzin,D,0.0695,0.0009
8470877,2015,0.3227,0.2541,0.0687,0.0668,0.0689,0.3999,-0.3488,0.7488,0.022,0.0232,1.0578,1.9244,-0.8665,0.0323,0.034,-0.6907,0.019,-0.7097,0.0088,0.0093,0.5506,1.5617,-1.0111,0.0059,0.0062,0.3906,0.4368,0.8274,0.0343,0.0354,0.0493,David.Jones,F,0.0035,-0.0395
8475745,2015,0.2803,0.0128,0.2675,0.0665,0.0695,1.2729,-0.1829,1.4558,0.022,0.0232,1.2176,1.2653,-0.0477,0.0323,0.034,-0.7668,1.0821,-1.8489,0.0088,0.0093,0.1576,1.1409,-0.9833,0.0059,0.0062,0.5466,0.2766,0.8233,0.0342,0.0357,0.0494,Charlie.Coyle,F,0.024,0.0267
8476440,2015,0.1231,-0.0325,0.1556,0.0698,0.0722,0.9198,-0.2169,1.1367,0.022,0.0232,0.6993,1.4149,-0.7156,0.0323,0.034,0.8878,1.4678,-0.58,0.0088,0.0093,-1.5939,-0.0538,-1.54,0.0059,0.0062,0.4704,0.3527,0.8231,0.0358,0.037,0.0515,Markus.Granlund,F,-0.0071,-0.0198
8476430,2015,0.0231,-0.0589,0.082,0.0693,0.0732,0.7706,0.324,0.4467,0.022,0.0232,2.2281,0.5459,1.6821,0.0323,0.034,-0.8745,-0.7618,-0.1127,0.0088,0.0093,-2.3363,-1.4937,-0.8427,0.0059,0.0062,0.6583,0.1533,0.8116,0.0355,0.0375,0.0517,Tomas.Jurco,F,0.0036,-0.0419
8475222,2015,0.2555,0.0221,0.2334,0.0654,0.0681,1.3095,0.1087,1.2008,0.022,0.0232,1.3014,1.1813,0.1201,0.0323,0.034,-0.8307,-1.317,0.4864,0.0088,0.0093,-1.4235,0.3545,-1.778,0.0059,0.0062,0.6176,0.194,0.8116,0.0336,0.035,0.0486,Sami.Vatanen,D,0.0711,0.0184
8471703,2015,0.0632,0.0462,0.017,0.0689,0.0719,1.2539,0.297,0.9569,0.022,0.0232,1.6897,1.1626,0.5271,0.0323,0.034,-0.5436,-1.567,1.0235,0.0088,0.0093,-1.4286,0.9177,-2.3463,0.0059,0.0062,0.6159,0.1927,0.8086,0.0353,0.0369,0.0511,Steve.Downie,F,-0.0005,-0.0698
8474743,2015,-0.0199,0.1021,-0.1221,0.0684,0.0707,1.1008,0.7257,0.3751,0.022,0.0232,0.9592,0.4899,0.4693,0.0323,0.034,0.8403,0.2517,0.5886,0.0088,0.0093,-2.2917,-0.4282,-1.8634,0.0059,0.0062,0.5083,0.2999,0.8082,0.0351,0.0363,0.0505,Zach.Redmond,D,0.0208,-0.0133
